Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.75,9.75,9.46875,9.53125,4.423525810241699,592800
2000-01-04,9.5,9.625,9.46875,9.59375,4.452532768249512,535800
2000-01-05,9.625,10.125,9.59375,10.03125,4.655578136444092,708400
2000-01-06,10.15625,10.15625,9.9375,10.0,4.641077041625977,680400
2000-01-07,10.03125,10.15625,10.0,10.125,4.699090957641602,376200
2000-01-10,10.25,10.25,10.0625,10.125,4.699090957641602,911400
2000-01-11,10.1875,10.1875,10.0,10.0,4.641077041625977,950600
2000-01-12,10.0625,10.21875,10.0625,10.1875,4.728097438812256,628400
2000-01-13,10.25,10.25,10.0625,10.09375,4.684585094451904,485200
2000-01-14,10.15625,10.15625,9.9375,9.9375,4.612069129943848,628800
2000-01-18,9.9375,9.96875,9.65625,9.75,4.525050640106201,605200
2000-01-19,9.8125,10.0,9.75,10.0,4.641077041625977,382000
2000-01-20,9.9375,10.0,9.875,9.9375,4.612069129943848,475200
2000-01-21,9.96875,10.21875,9.9375,10.15625,4.713593006134033,620800
2000-01-24,10.1875,10.3125,10.15625,10.15625,4.713593006134033,880800
2000-01-25,10.15625,10.21875,10.03125,10.09375,4.684585094451904,752400
2000-01-26,10.0625,10.15625,10.03125,10.0625,4.670083999633789,468600
2000-01-27,10.09375,10.125,9.90625,10.0,4.641077041625977,566600
2000-01-28,10.125,10.125,9.78125,9.90625,4.597567081451416,852200
2000-01-31,9.9375,9.96875,9.875,9.875,4.58306360244751,786800
2000-02-01,9.9375,10.0,9.84375,9.9375,4.612069129943848,467400
2000-02-02,10.0625,10.21875,10.0,10.09375,4.684585094451904,501200
2000-02-03,10.125,10.59375,10.09375,10.46875,4.8586273193359375,795800
2000-02-04,10.375,10.40625,10.0625,10.1875,4.728097438812256,474200
2000-02-07,10.1875,10.1875,9.875,9.875,4.58306360244751,842000
2000-02-08,10.0625,10.21875,10.0,10.03125,4.655578136444092,420800
2000-02-09,10.0,10.125,9.96875,10.03125,4.655578136444092,5588800
2000-02-10,9.8125,9.96875,9.5625,9.65625,4.5703840255737305,1075800
2000-02-11,9.6875,9.75,9.40625,9.4375,4.466848850250244,892200
2000-02-14,9.46875,9.5,9.4375,9.5,4.496430397033691,607800
2000-02-15,9.5,9.5,9.4375,9.4375,4.466848850250244,582000
2000-02-16,9.40625,9.4375,9.375,9.4375,4.466848850250244,394800
2000-02-17,9.4375,9.46875,9.34375,9.4375,4.466848850250244,444400
2000-02-18,9.375,9.4375,9.21875,9.34375,4.422475337982178,343800
2000-02-22,9.40625,9.40625,9.28125,9.28125,4.392894268035889,497400
2000-02-23,9.3125,9.3125,9.125,9.21875,4.363311290740967,519000
2000-02-24,9.21875,9.25,8.71875,8.8125,4.171028137207031,880600
2000-02-25,8.75,8.84375,8.6875,8.75,4.141448020935059,1185600
2000-02-28,8.75,8.875,8.65625,8.84375,4.185822010040283,1372800
2000-02-29,8.875,8.90625,8.78125,8.84375,4.185822010040283,747400
2000-03-01,8.84375,8.875,8.6875,8.6875,4.111867904663086,515000
2000-03-02,8.84375,8.96875,8.78125,8.9375,4.23019552230835,524000
2000-03-03,8.9375,8.96875,8.8125,8.84375,4.185822010040283,528800
2000-03-06,8.84375,8.875,8.5,8.53125,4.037911415100098,860600
2000-03-07,8.53125,8.65625,8.53125,8.5625,4.052703857421875,887200
2000-03-08,8.65625,8.6875,8.40625,8.40625,3.9787485599517822,1244600
2000-03-09,8.4375,8.65625,8.4375,8.59375,4.067494869232178,619400
2000-03-10,8.59375,8.65625,8.5,8.5625,4.052703857421875,462200
2000-03-13,8.59375,8.625,8.5,8.59375,4.067494869232178,426800
2000-03-14,8.59375,8.71875,8.53125,8.65625,4.097076416015625,564600
2000-03-15,8.71875,9.1875,8.6875,9.0,4.259777069091797,756800
2000-03-16,9.25,9.75,9.1875,9.59375,4.540803909301758,979000
2000-03-17,9.46875,9.65625,9.28125,9.5,4.496430397033691,671000
2000-03-20,9.53125,9.625,9.5,9.5,4.496430397033691,321000
2000-03-21,9.53125,9.59375,9.5,9.5625,4.526013374328613,444200
2000-03-22,9.53125,9.5625,9.03125,9.21875,4.363311290740967,1261600
2000-03-23,9.28125,9.375,9.25,9.375,4.4372663497924805,734800
2000-03-24,9.375,9.46875,9.3125,9.3125,4.407686233520508,346000
2000-03-27,9.28125,9.4375,9.28125,9.375,4.4372663497924805,525400
2000-03-28,9.40625,9.46875,9.28125,9.40625,4.452056407928467,497200
2000-03-29,9.5,9.65625,9.5,9.65625,4.5703840255737305,654600
2000-03-30,9.6875,9.96875,9.6875,9.8125,4.644340991973877,627200
2000-03-31,9.90625,9.96875,9.78125,9.96875,4.718296527862549,807400
2000-04-03,9.96875,10.0625,9.90625,10.0625,4.76266622543335,906400
2000-04-04,10.0,10.28125,9.96875,10.09375,4.777456760406494,912800
2000-04-05,10.125,10.4375,10.0625,10.21875,4.836618423461914,543400
2000-04-06,10.25,10.375,10.0625,10.15625,4.807039737701416,417000
2000-04-07,10.03125,10.15625,9.9375,10.03125,4.747876167297363,344600
2000-04-10,10.03125,10.21875,9.90625,10.1875,4.821828842163086,404400
2000-04-11,10.21875,10.3125,10.15625,10.28125,4.866203784942627,486200
2000-04-12,10.3125,10.625,10.28125,10.46875,4.954948425292969,474200
2000-04-13,10.3125,10.75,10.3125,10.71875,5.073275566101074,486600
2000-04-14,10.75,10.8125,10.375,10.4375,4.940156936645508,431000
2000-04-17,10.4375,10.625,10.21875,10.625,5.028901100158691,578000
2000-04-18,10.65625,10.65625,10.46875,10.625,5.028901100158691,350800
2000-04-19,10.5625,10.59375,10.25,10.53125,4.984531879425049,615600
2000-04-20,10.53125,10.5625,10.375,10.4375,4.940156936645508,1072200
2000-04-24,10.46875,10.90625,10.4375,10.78125,5.102855205535889,592400
2000-04-25,10.78125,11.28125,10.78125,11.21875,5.309929847717285,800800
2000-04-26,11.25,11.46875,11.21875,11.40625,5.398674488067627,617000
2000-04-27,11.25,11.28125,10.84375,10.90625,5.162021160125732,1040600
2000-04-28,10.875,10.875,10.625,10.6875,5.058482646942139,613600
2000-05-01,10.6875,10.75,10.53125,10.75,5.088067054748535,673400
2000-05-02,10.59375,10.625,10.125,10.15625,4.807039737701416,1787800
2000-05-03,10.21875,10.28125,10.09375,10.25,4.851410388946533,808400
2000-05-04,10.25,10.40625,10.15625,10.40625,4.925364971160889,933400
2000-05-05,10.40625,10.40625,10.09375,10.125,4.79224967956543,742800
2000-05-08,10.25,10.65625,10.1875,10.5,4.969738006591797,858000
2000-05-09,10.59375,10.625,10.4375,10.625,5.028901100158691,5736800
