Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.625,39.625,36.9375,37.25,18.639080047607422,982600
2000-01-04,37.0,37.3125,35.6875,35.875,17.951061248779297,1007000
2000-01-05,35.8125,37.0,35.125,35.5625,17.907001495361328,1016800
2000-01-06,35.125,36.5,35.0625,36.3125,18.28465461730957,743500
2000-01-07,36.625,37.1875,36.375,37.0,18.63083839416504,526700
2000-01-10,36.75,37.5,35.5625,35.8125,18.03289222717285,562600
2000-01-11,35.625,37.0,35.625,36.1875,18.221708297729492,902500
2000-01-12,36.1875,36.625,35.3125,35.75,18.00140380859375,693800
2000-01-13,35.9375,36.9375,35.875,36.375,18.316120147705078,709300
2000-01-14,34.375,36.0,34.375,35.3125,17.781110763549805,801000
2000-01-18,33.5625,35.375,33.4375,35.125,17.686704635620117,861400
2000-01-19,33.625,34.4375,33.125,33.5,16.868453979492188,772600
2000-01-20,33.375,33.75,32.0625,32.1875,16.207561492919922,1178000
2000-01-21,32.3125,33.4375,32.0,33.0625,16.648162841796875,1127800
2000-01-24,32.875,33.1875,30.375,31.25,15.735502243041992,800400
2000-01-25,31.1875,31.625,30.0625,30.4375,15.326380729675293,771600
2000-01-26,30.75,31.75,30.5,31.0,15.609610557556152,718800
2000-01-27,31.5,31.5,29.9375,30.625,15.42078685760498,602200
2000-01-28,30.5,30.5625,29.25,29.5625,14.885787010192871,648600
2000-01-31,29.875,32.25,29.5625,31.4375,15.829916954040527,912400
2000-02-01,30.875,31.0625,29.125,29.4375,14.822846412658691,1091100
2000-02-02,28.75,29.125,28.25,28.8125,14.508126258850098,1250800
2000-02-03,28.8125,29.6875,28.6875,29.3125,14.759892463684082,927900
2000-02-04,29.0625,29.0625,27.75,28.1875,14.19342041015625,705600
2000-02-07,28.1875,28.25,27.5,27.8125,14.004598617553711,710200
2000-02-08,27.75,28.625,27.6875,28.375,14.287837982177734,582800
2000-02-09,28.3125,28.3125,27.625,27.6875,13.941656112670898,669400
2000-02-10,27.0,27.625,26.25,26.3125,13.24929428100586,1171500
2000-02-11,26.3125,26.4375,25.4375,25.8125,12.997527122497559,1239800
2000-02-14,25.8125,26.5,25.8125,25.9375,13.060464859008789,576000
2000-02-15,25.9375,27.5625,25.875,27.4375,13.815766334533691,887900
2000-02-16,29.5625,29.5625,27.0,27.4375,13.815766334533691,1484900
2000-02-17,27.25,29.5625,27.25,29.375,14.791365623474121,1227200
2000-02-18,29.3125,29.8125,28.875,29.25,14.72842788696289,1040500
2000-02-22,29.1875,29.9375,28.8125,29.5625,14.885787010192871,895300
2000-02-23,29.5625,29.5625,28.5,28.875,14.539607048034668,1198100
2000-02-24,28.0,28.0,27.3125,27.75,13.973121643066406,1303600
2000-02-25,27.8125,28.625,27.5,27.75,13.973121643066406,928500
2000-02-28,27.75,28.4375,27.625,28.25,14.224884986877441,544800
2000-02-29,28.0625,28.4375,27.8125,28.375,14.287837982177734,677300
2000-03-01,28.375,29.1875,28.375,28.9375,14.571074485778809,930400
2000-03-02,28.9375,29.125,28.4375,28.5625,14.382250785827637,903000
2000-03-03,28.4375,29.1875,28.3125,29.0,14.602546691894531,472100
2000-03-06,29.0,29.125,28.5625,29.0,14.602546691894531,673300
2000-03-07,28.625,28.625,27.1875,27.5625,13.878710746765137,1116100
2000-03-08,27.3125,30.4375,27.0625,30.3125,15.263431549072266,1090600
2000-03-09,29.5,30.3125,29.0625,30.1875,15.200492858886719,692100
2000-03-10,29.3125,29.375,27.875,28.9375,14.571074485778809,815300
2000-03-13,28.6875,28.6875,27.875,28.3125,14.256366729736328,639300
2000-03-14,28.0625,28.4375,27.875,28.0625,14.13048267364502,461900
2000-03-15,28.0,30.0,27.875,29.75,14.980194091796875,1107500
2000-03-16,29.9375,34.125,29.6875,34.0,17.120229721069336,1444000
2000-03-17,33.6875,33.75,31.875,31.875,16.050212860107422,1383000
2000-03-20,31.625,35.375,30.875,33.8125,17.025806427001953,1182300
2000-03-21,33.875,34.9375,30.4375,31.375,15.798439979553223,2726700
2000-03-22,30.25,30.5,29.0,29.6875,14.948719024658203,1206700
2000-03-23,29.5625,30.875,28.125,30.0625,15.137548446655273,1614800
2000-03-24,29.8125,31.0,29.5625,30.5,15.35784912109375,795100
2000-03-27,29.4375,29.9375,29.0625,29.1875,14.696964263916016,729700
2000-03-28,28.9375,29.75,28.9375,29.0,14.602546691894531,531300
2000-03-29,29.0625,30.0625,29.0,29.9375,15.074607849121094,611200
2000-03-30,30.1875,31.375,30.1875,31.125,15.672560691833496,725900
2000-03-31,31.125,31.125,30.1875,30.75,15.483732223510742,578900
2000-04-03,30.8125,30.9375,29.9375,30.6875,15.452258110046387,569100
2000-04-04,32.5,33.875,31.125,31.8125,16.018747329711914,1284600
2000-04-05,31.5625,32.4375,31.125,31.3125,15.879288673400879,782000
2000-04-06,31.0625,31.125,29.5625,30.125,15.27707290649414,720000
2000-04-07,29.8125,29.875,28.0625,28.125,14.26282787322998,1612800
2000-04-10,28.125,29.0,27.5625,29.0,14.706561088562012,998000
2000-04-11,28.6875,28.75,28.125,28.5625,14.484698295593262,781600
2000-04-12,28.5625,30.375,28.5625,29.5,14.960125923156738,967400
2000-04-13,29.75,31.625,29.6875,30.9375,15.689111709594727,1435100
2000-04-14,29.875,30.9375,29.1875,29.25,14.833341598510742,728700
2000-04-17,29.5,30.25,29.0,30.0,15.213685035705566,629600
2000-04-18,27.5,29.125,27.125,28.375,14.38961124420166,1437500
2000-04-19,28.0,28.3125,27.75,28.0625,14.231134414672852,777800
2000-04-20,28.0,28.25,27.75,28.0625,14.231134414672852,565300
2000-04-24,28.0625,28.5,27.5,28.125,14.26282787322998,597300
2000-04-25,28.1875,29.4375,27.25,29.0,14.706561088562012,601700
2000-04-26,29.0,29.25,27.0625,27.4375,13.914178848266602,1220200
2000-04-27,27.1875,27.1875,26.1875,26.6875,13.53384017944336,1376100
2000-04-28,26.6875,26.6875,25.625,26.0,13.18519401550293,1021100
2000-05-01,25.5,26.5,25.4375,26.0625,13.21688461303711,1194300
2000-05-02,26.0625,26.75,26.0,26.5,13.438755989074707,649200
2000-05-03,28.625,30.5,27.8125,29.5625,14.991819381713867,2342500
2000-05-04,28.0,29.4375,27.25,28.5625,14.484698295593262,1158800
2000-05-05,29.3125,29.5,28.25,28.375,14.38961124420166,503800
2000-05-08,29.1875,29.875,28.8125,29.5,14.960125923156738,689300
2000-05-09,28.875,29.1875,28.5,29.0625,14.738260269165039,376900
2000-05-10,28.9375,29.1875,28.625,28.75,14.579780578613281,486000
2000-05-11,29.0,29.625,28.875,29.25,14.833341598510742,356700
2000-05-12,29.0,29.3125,28.5,29.125,14.769948959350586,443100
2000-05-15,29.25,30.3125,29.0,29.875,15.15029239654541,671400
2000-05-16,30.9375,30.9375,29.9375,30.4375,15.435551643371582,789200
2000-05-17,29.0,30.25,28.25,29.25,14.833341598510742,1598500
2000-05-18,28.4375,29.125,28.375,28.5,14.452999114990234,699700
2000-05-19,28.375,28.6875,28.0,28.1875,14.294520378112793,661700
2000-05-22,28.3125,28.6875,28.0625,28.4375,14.421299934387207,408800
2000-05-23,28.5,28.625,27.9375,28.4375,14.421299934387207,585400
2000-05-24,28.4375,31.75,28.4375,31.625,16.037755966186523,2106100
2000-05-25,31.0,31.0625,30.375,31.0,15.720800399780273,1430800
2000-05-26,31.0625,31.9375,30.5,31.6875,16.069454193115234,909200
2000-05-30,31.375,32.1875,30.75,31.75,16.101150512695312,789500
2000-05-31,31.0,31.5,29.875,31.0,15.720800399780273,545400
2000-06-01,30.75,31.0,30.0,30.125,15.27707290649414,584700
2000-06-02,30.125,30.3125,29.5625,29.9375,15.181985855102539,481900
2000-06-05,31.625,33.3125,30.8125,31.125,15.784196853637695,1719800
2000-06-06,31.0,31.0,28.8125,29.5625,14.991819381713867,1723900
2000-06-07,29.5625,32.0,29.4375,31.625,16.037755966186523,1506400
2000-06-08,31.0,31.6875,30.5625,31.5625,16.006057739257812,814900
2000-06-09,31.5,31.6875,30.75,31.0625,15.752497673034668,628800
2000-06-12,31.0625,31.125,30.375,30.5625,15.498934745788574,482300
2000-06-13,31.0,31.4375,30.8125,31.0625,15.752497673034668,449800
2000-06-14,31.0,31.3125,30.75,31.25,15.847586631774902,294500
2000-06-15,31.125,31.625,30.9375,30.9375,15.689111709594727,567500
2000-06-16,30.0625,31.4375,30.0625,30.5625,15.498934745788574,1044700
2000-06-19,30.5625,30.875,29.875,29.875,15.15029239654541,438400
2000-06-20,29.875,30.625,29.625,30.375,15.403846740722656,600200
2000-06-21,30.5,30.5625,29.5,29.8125,15.118603706359863,373400
2000-06-22,29.5,29.8125,29.375,29.5,14.960125923156738,562200
2000-06-23,29.5,30.0625,29.5,30.0,15.213685035705566,521600
2000-06-26,30.25,31.1875,30.0,30.5625,15.498934745788574,374800
2000-06-27,31.0,31.1875,30.0625,30.25,15.340466499328613,480800
2000-06-28,30.4375,31.0,29.5625,30.09375,15.26121997833252,551300
2000-06-29,29.625,30.1875,29.0625,29.1875,14.801652908325195,387400
2000-06-30,28.0,29.4375,27.75,29.125,14.769948959350586,904300
2000-07-03,28.875,29.25,28.5,29.125,14.769948959350586,196200
2000-07-05,29.5,29.6875,28.625,28.75,14.693296432495117,433900
2000-07-06,28.875,29.0625,28.5,28.875,14.757179260253906,434700
2000-07-07,28.25,28.6875,28.0,28.1875,14.405813217163086,381300
2000-07-10,27.9375,28.1875,27.375,28.0,14.309988975524902,520000
2000-07-11,27.75,27.75,27.1875,27.6875,14.15027904510498,328300
2000-07-12,27.6875,27.75,27.125,27.5,14.054447174072266,326100
2000-07-13,27.4375,28.0625,27.375,27.875,14.246100425720215,451400
2000-07-14,27.6875,28.375,27.625,27.875,14.246100425720215,374000
2000-07-17,27.625,27.75,27.0,27.25,13.926681518554688,353400
2000-07-18,27.0625,27.75,27.0625,27.5625,14.086390495300293,299800
2000-07-19,27.5,28.3125,27.25,28.1875,14.405813217163086,430200
2000-07-20,28.4375,28.6875,28.125,28.25,14.437747955322266,440200
2000-07-21,28.375,28.625,27.375,27.5625,14.086390495300293,441700
2000-07-24,27.5625,28.25,27.0625,28.1875,14.405813217163086,884800
2000-07-25,28.125,29.0,28.125,28.5625,14.597461700439453,689800
2000-07-26,28.375,28.375,27.0,27.0,13.798909187316895,899300
2000-07-27,27.1875,27.4375,26.125,26.375,13.479496002197266,735200
2000-07-28,26.375,26.5,26.0625,26.4375,13.511434555053711,450500
2000-07-31,26.625,27.125,26.5,26.5,13.543383598327637,721700
2000-08-01,26.9375,27.0,26.3125,26.5,13.543383598327637,438100
2000-08-02,26.6875,27.125,26.375,26.6875,13.639205932617188,479800
2000-08-03,26.9375,27.0625,26.5,26.6875,13.639205932617188,384100
2000-08-04,26.5625,27.0,26.125,26.6875,13.639205932617188,337600
2000-08-07,26.5,26.625,26.0625,26.25,13.415610313415527,286200
2000-08-08,26.25,26.3125,26.0,26.25,13.415610313415527,345700
2000-08-09,26.0,26.125,25.4375,25.6875,13.128135681152344,818900
2000-08-10,25.875,26.3125,25.8125,26.0,13.287847518920898,403400
2000-08-11,26.1875,26.9375,26.125,26.75,13.671146392822266,396900
2000-08-14,26.5,26.8125,26.25,26.4375,13.511434555053711,320600
2000-08-15,26.75,27.25,26.375,26.5,13.543383598327637,465700
2000-08-16,26.625,26.8125,26.1875,26.375,13.479496002197266,287100
2000-08-17,26.625,26.625,25.9375,26.125,13.351729393005371,260200
2000-08-18,26.125,26.3125,25.9375,26.0625,13.319780349731445,321200
2000-08-21,25.9375,26.875,25.8125,26.625,13.607269287109375,315300
2000-08-22,26.625,26.625,26.0,26.125,13.351729393005371,224200
2000-08-23,26.0,26.4375,26.0,26.375,13.479496002197266,214400
2000-08-24,26.1875,26.875,26.125,26.5625,13.575328826904297,368700
2000-08-25,26.875,26.875,25.9375,26.0625,13.319780349731445,301900
2000-08-28,26.0625,26.4375,25.75,25.75,13.160075187683105,387800
2000-08-29,25.625,25.9375,25.5625,25.5625,13.064254760742188,303200
2000-08-30,24.875,25.5,24.875,25.0625,12.808714866638184,511400
2000-08-31,25.875,25.875,25.25,25.375,12.968423843383789,469200
2000-09-01,25.3125,25.3125,25.0,25.125,12.840655326843262,269700
2000-09-05,25.125,25.25,24.625,24.75,12.649005889892578,644400
2000-09-06,25.0,25.125,24.5625,24.875,12.712890625,360800
2000-09-07,23.75,25.4375,23.75,25.125,12.840655326843262,649200
2000-09-08,24.875,26.6875,24.5625,26.625,13.607269287109375,1262800
2000-09-11,26.375,26.5,25.6875,26.0625,13.319780349731445,720200
2000-09-12,25.75,26.125,25.625,25.9375,13.255903244018555,630500
2000-09-13,26.0625,26.0625,25.1875,25.625,13.096195220947266,709200
2000-09-14,25.3125,25.375,24.8125,25.25,12.90453815460205,731300
2000-09-15,25.125,25.6875,25.0,25.125,12.840655326843262,803500
2000-09-18,25.0,25.1875,24.75,25.0,12.776772499084473,560400
2000-09-19,25.0,25.125,24.4375,24.6875,12.6170654296875,662900
2000-09-20,24.875,25.0,24.3125,24.75,12.649005889892578,346500
2000-09-21,24.5625,25.4375,24.5,25.375,12.968423843383789,452800
2000-09-22,25.4375,26.0625,25.25,25.5,13.032306671142578,409700
2000-09-25,25.375,25.625,25.125,25.25,12.90453815460205,394600
2000-09-26,25.125,25.5,25.0,25.1875,12.872601509094238,350600
2000-09-27,24.9375,25.625,24.8125,25.375,12.968423843383789,373500
2000-09-28,25.4375,26.5,25.3125,26.125,13.351729393005371,592200
2000-09-29,26.1875,26.625,25.625,25.875,13.223960876464844,428500
2000-10-02,25.875,25.875,25.0625,25.5625,13.064254760742188,380700
2000-10-03,25.375,25.75,25.125,25.625,13.096195220947266,365200
2000-10-04,25.375,26.125,25.25,25.5,13.147750854492188,538400
2000-10-05,25.5,26.625,25.375,26.5,13.66335391998291,551100
2000-10-06,26.6875,26.8125,25.625,25.875,13.341105461120605,565400
2000-10-09,25.875,26.125,25.75,26.0,13.405552864074707,417500
