Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.296875,4.34375,3.75,3.875,2.756747245788574,3971200
2000-01-04,3.75,3.90625,3.6875,3.875,2.756747245788574,5402800
2000-01-05,3.8125,3.875,3.71875,3.765625,2.678936243057251,3598000
2000-01-06,3.765625,4.125,3.734375,4.078125,2.9012527465820312,3956000
2000-01-07,4.125,4.1875,3.984375,4.03125,2.8679051399230957,2756400
2000-01-10,3.96875,4.0625,3.90625,4.0625,2.89013671875,1998800
2000-01-11,4.0,4.15625,4.0,4.09375,2.912370204925537,2788400
2000-01-12,4.078125,4.140625,4.015625,4.09375,2.917715072631836,2079200
2000-01-13,4.125,4.234375,4.109375,4.171875,2.9733951091766357,4296400
2000-01-14,4.234375,4.28125,4.140625,4.25,3.0290772914886475,5099200
2000-01-18,4.3125,4.484375,4.171875,4.265625,3.040215015411377,3706800
2000-01-19,4.328125,4.453125,4.28125,4.28125,3.051352024078369,1662400
2000-01-20,4.265625,4.28125,4.0,4.1875,2.984531879425049,4240800
2000-01-21,4.234375,4.328125,4.03125,4.0625,2.8954412937164307,7760000
2000-01-24,4.0,4.046875,3.859375,3.96875,2.8286237716674805,5458400
2000-01-25,3.96875,4.046875,3.890625,3.90625,2.7840793132781982,5332000
2000-01-26,3.921875,4.0625,3.921875,3.953125,2.8174893856048584,4566400
2000-01-27,3.96875,4.03125,3.8125,3.859375,2.7506704330444336,2605200
2000-01-28,3.859375,3.921875,3.796875,3.8125,2.717261552810669,2298000
2000-01-31,3.875,3.984375,3.765625,3.96875,2.8286237716674805,3082800
2000-02-01,3.9375,4.046875,3.90625,4.0,2.8508965969085693,2764000
2000-02-02,4.0625,4.171875,4.0625,4.125,2.9399890899658203,4101200
2000-02-03,4.15625,4.203125,4.03125,4.03125,2.873169183731079,3419200
2000-02-04,4.015625,4.140625,3.8125,3.921875,2.7952160835266113,2589200
2000-02-07,3.984375,4.03125,3.859375,3.890625,2.772942304611206,3120800
2000-02-08,3.921875,3.96875,3.828125,3.875,2.7618069648742676,2361600
2000-02-09,3.90625,3.96875,3.71875,3.765625,2.6838533878326416,3786400
2000-02-10,3.765625,3.96875,3.765625,3.96875,2.8286237716674805,3636800
2000-02-11,3.984375,3.984375,3.8125,3.90625,2.7840793132781982,3043600
2000-02-14,3.90625,3.96875,3.828125,3.9375,2.8063504695892334,2067200
2000-02-15,3.9375,4.125,3.921875,4.0625,2.8954412937164307,2679600
