Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,324.1806640625,792528
2000-08-14,419.0,420.0,384.0,384.0,296.3937072753906,80228
2000-08-15,389.0,396.0,384.0,388.0,299.481201171875,48422
2000-08-16,386.0,418.0,386.0,396.0,305.6560974121094,42166
2000-08-17,392.0,400.0,382.0,384.0,296.3937072753906,47247
2000-08-18,401.0,460.0,396.0,458.0,353.5113220214844,60400
2000-08-21,482.0,520.0,446.0,486.0,375.123291015625,66547
2000-08-22,492.0,502.0,432.0,432.0,333.4429016113281,33878
2000-08-23,434.0,440.0,408.0,416.0,321.09326171875,17925
2000-08-24,414.0,418.0,386.0,386.0,297.93756103515625,18441
2000-08-25,402.0,414.0,388.0,412.0,318.0058288574219,20113
2000-08-28,429.0,433.5,400.0,420.0,324.1806640625,19491
2000-08-29,430.0,432.0,404.0,428.0,330.35546875,22728
2000-08-30,427.0,470.0,424.0,454.0,350.4239196777344,19891
2000-08-31,482.0,528.0,476.0,518.0,399.82281494140625,87397
2000-09-01,516.0,520.0,480.0,504.0,389.01678466796875,27738
2000-09-05,506.0,520.0,496.0,498.0,384.3855895996094,23025
2000-09-06,516.0,520.0,488.0,496.0,382.8418884277344,20559
2000-09-07,512.0,512.0,428.0,460.0,355.05499267578125,23959
2000-09-08,456.5,464.0,440.0,448.0,345.792724609375,15956
2000-09-11,442.0,448.0,432.0,444.0,342.7052917480469,34547
2000-09-12,435.0,442.0,412.0,416.0,321.09326171875,33853
2000-09-13,408.0,420.0,396.0,400.0,308.7435302734375,10363
2000-09-14,444.0,444.0,400.0,406.0,313.3746337890625,8109
2000-09-15,402.0,416.0,400.0,402.0,310.2872009277344,3600
2000-09-18,420.0,424.0,382.0,386.0,297.93756103515625,18659
2000-09-19,419.0,420.0,344.0,360.0,277.8692321777344,48038
2000-09-20,368.0,370.0,312.0,332.0,256.25714111328125,24103
2000-09-21,330.0,344.0,326.0,340.0,262.431884765625,25247
2000-09-22,307.0,346.0,302.0,338.0,260.8881530761719,8456
2000-09-25,340.0,346.0,300.0,302.0,233.10128784179688,21066
2000-09-26,316.0,318.0,288.0,296.0,228.47018432617188,19634
2000-09-27,301.0,302.0,276.0,299.0,230.78573608398438,16756
2000-09-28,296.0,344.0,292.0,320.0,246.99468994140625,22041
2000-09-29,323.0,324.0,279.0,284.0,219.2078857421875,19125
2000-10-02,300.0,301.0,268.0,272.0,209.94558715820312,6888
2000-10-03,275.0,284.0,248.0,254.0,196.0521240234375,10128
2000-10-04,256.0,258.0,216.0,228.0,175.9838409423828,14600
2000-10-05,222.0,260.0,208.0,210.0,162.09033203125,15178
2000-10-06,222.5,224.0,190.0,195.0,150.51248168945312,11413
2000-10-09,210.0,214.0,185.0,198.0,152.8280487060547,10650
2000-10-10,202.0,204.0,176.0,182.0,140.47830200195312,13291
2000-10-11,168.0,184.0,130.0,132.0,101.88536834716797,42488
2000-10-12,163.0,168.0,144.0,166.0,128.12857055664062,37297
2000-10-13,182.0,252.0,177.0,242.0,186.78981018066406,42863
2000-10-16,260.0,262.0,236.0,260.0,200.68325805664062,38531
2000-10-17,272.0,274.0,244.0,250.0,192.9646453857422,11047
2000-10-18,248.0,268.0,190.0,258.0,199.13955688476562,19303
2000-10-19,272.0,298.0,216.0,221.0,170.58074951171875,25997
2000-10-20,240.0,240.0,224.0,234.0,180.61489868164062,21797
