Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.53125,10.71875,10.375,10.59375,6.321732997894287,1455000
2000-01-04,10.46875,10.5,9.96875,10.0,5.9674201011657715,1618200
2000-01-05,10.03125,10.40625,10.03125,10.375,6.191199779510498,1535600
2000-01-06,10.375,10.46875,9.90625,10.0625,6.004714488983154,2296600
2000-01-07,9.9375,10.25,9.65625,9.8125,5.855529308319092,2253000
2000-01-10,10.125,10.125,9.84375,9.875,5.89282751083374,1169200
2000-01-11,9.84375,10.0,9.78125,9.9375,5.930121898651123,845400
2000-01-12,9.875,9.90625,9.5625,9.78125,5.836883544921875,1784000
2000-01-13,9.75,9.9375,9.6875,9.71875,5.799586296081543,1897600
2000-01-14,9.65625,9.71875,9.375,9.5,5.66904878616333,1986800
2000-01-18,9.5625,9.75,9.34375,9.75,5.818233966827393,1356000
2000-01-19,9.75,10.0,9.6875,10.0,5.9674201011657715,1086000
2000-01-20,10.0,10.0,9.53125,9.53125,5.687695503234863,1130400
2000-01-21,9.625,9.625,9.1875,9.1875,5.48256778717041,1141000
2000-01-24,9.25,9.25,8.75,8.9375,5.333380222320557,711400
2000-01-25,8.875,8.90625,8.5,8.8125,5.258790016174316,592200
2000-01-26,8.75,8.75,8.15625,8.34375,4.97906494140625,877400
2000-01-27,8.40625,8.90625,8.375,8.90625,5.31473445892334,1056800
2000-01-28,8.75,9.125,8.5625,8.71875,5.202844142913818,1770800
2000-01-31,8.65625,8.84375,8.65625,8.71875,5.202844142913818,859400
2000-02-01,8.59375,8.90625,8.59375,8.71875,5.202844142913818,735600
2000-02-02,8.71875,8.875,8.6875,8.71875,5.202844142913818,1475200
2000-02-03,8.6875,8.8125,8.65625,8.75,5.22149133682251,1541000
2000-02-04,9.0,9.375,9.0,9.28125,5.538510799407959,1479400
2000-02-07,9.4375,9.46875,9.1875,9.1875,5.48256778717041,1530800
2000-02-08,9.1875,9.21875,8.96875,9.0,5.37067985534668,1079800
2000-02-09,9.0,9.15625,8.90625,8.96875,5.352028846740723,1466600
2000-02-10,9.0,9.03125,8.875,8.90625,5.31473445892334,1569000
2000-02-11,8.84375,9.09375,8.8125,9.09375,5.42662239074707,1071400
2000-02-14,9.03125,9.25,9.03125,9.1875,5.48256778717041,757800
2000-02-15,9.21875,9.34375,9.125,9.15625,5.4639201164245605,1684400
2000-02-16,9.125,9.1875,8.96875,9.0,5.37067985534668,616600
2000-02-17,9.0,9.28125,8.9375,9.0625,5.407973289489746,775800
2000-02-18,9.03125,9.1875,8.96875,9.0,5.37067985534668,1126400
2000-02-22,8.9375,9.125,8.6875,8.875,5.296084403991699,915400
2000-02-23,8.9375,8.9375,8.3125,8.34375,4.97906494140625,771400
2000-02-24,8.34375,8.34375,7.46875,7.46875,4.456916332244873,1482600
2000-02-25,7.4375,7.4375,7.0,7.0,4.1771931648254395,1446400
2000-02-28,7.1875,7.40625,6.8125,6.875,4.10260009765625,1726600
2000-02-29,6.90625,7.125,6.8125,6.875,4.10260009765625,886400
2000-03-01,6.90625,7.125,6.625,7.03125,4.195841312408447,1116600
2000-03-02,7.03125,7.03125,6.5,6.65625,3.97206449508667,1086800
2000-03-03,6.65625,6.96875,6.5,6.84375,4.0839524269104,1030400
2000-03-06,6.8125,6.9375,6.625,6.65625,3.97206449508667,899400
2000-03-07,6.71875,6.96875,6.71875,6.96875,4.158545017242432,925800
2000-03-08,6.8125,6.90625,6.65625,6.78125,4.046655178070068,1219200
2000-03-09,6.71875,6.84375,6.53125,6.625,3.953416109085083,636600
2000-03-10,6.84375,6.84375,6.53125,6.53125,3.8974697589874268,463200
2000-03-13,6.59375,6.65625,6.4375,6.46875,3.8601744174957275,453800
2000-03-14,6.40625,6.5,6.25,6.3125,3.7669334411621094,569000
2000-03-15,6.3125,6.6875,6.3125,6.65625,3.97206449508667,1225600
2000-03-16,6.625,7.0,6.625,6.875,4.10260009765625,2312000
2000-03-17,6.90625,6.90625,6.53125,6.59375,3.9347658157348633,1215200
2000-03-20,6.78125,6.9375,6.71875,6.875,4.10260009765625,638600
2000-03-21,6.9375,7.0,6.75,6.9375,4.139898300170898,887200
2000-03-22,6.875,6.875,6.25,6.3125,3.7669334411621094,983400
2000-03-23,6.34375,6.875,6.3125,6.875,4.10260009765625,1081200
2000-03-24,6.8125,6.96875,6.71875,6.78125,4.046655178070068,966200
2000-03-27,6.75,6.78125,6.5,6.75,4.028006076812744,539200
2000-03-28,6.75,6.875,6.75,6.84375,4.0839524269104,702800
2000-03-29,6.78125,6.8125,6.125,6.1875,3.692340850830078,1720800
2000-03-30,6.3125,6.40625,6.03125,6.09375,3.6363964080810547,1206200
2000-03-31,6.03125,6.34375,6.03125,6.03125,3.5990991592407227,1814400
2000-04-03,6.0,6.1875,5.9375,6.0625,3.617748737335205,741800
2000-04-04,6.03125,6.375,5.8125,6.0,3.5804519653320312,1477000
2000-04-05,5.9375,6.125,5.84375,6.125,3.6550440788269043,930200
2000-04-06,6.15625,6.28125,6.0,6.09375,3.6363964080810547,578200
2000-04-07,6.0,6.0,5.25,5.46875,3.263432502746582,1485200
2000-04-10,5.53125,5.78125,5.5,5.78125,3.4499146938323975,1166400
2000-04-11,5.71875,5.8125,5.21875,5.34375,3.188839912414551,1457600
2000-04-12,5.34375,5.71875,5.34375,5.5625,3.3193767070770264,1471600
2000-04-13,5.5625,5.78125,5.53125,5.6875,3.3939695358276367,1009400
2000-04-14,5.6875,5.75,5.375,5.46875,3.263432502746582,805800
2000-04-17,5.46875,5.46875,5.15625,5.28125,3.151543140411377,1440600
2000-04-18,5.03125,5.1875,5.0,5.0,2.9837100505828857,993400
2000-04-19,5.03125,5.1875,4.8125,5.1875,3.095599889755249,1879600
2000-04-20,5.15625,5.28125,5.0,5.0,2.9837100505828857,1186000
2000-04-24,5.0625,5.15625,4.9375,5.0,2.9837100505828857,806000
2000-04-25,5.09375,5.09375,5.0,5.03125,3.002357244491577,521200
2000-04-26,5.03125,5.09375,4.875,4.90625,2.927764654159546,800600
2000-04-27,4.9375,5.03125,4.875,5.0,2.9837100505828857,570200
2000-04-28,4.96875,4.96875,4.78125,4.8125,2.871821165084839,1105800
2000-05-01,4.75,4.96875,4.6875,4.96875,2.9650609493255615,781200
2000-05-02,4.90625,5.40625,4.90625,5.34375,3.188839912414551,1925800
2000-05-03,5.34375,5.34375,5.0625,5.21875,3.1142468452453613,1368600
2000-05-04,5.3125,6.25,5.25,6.1875,3.692340850830078,3450400
2000-05-05,6.0625,6.09375,5.71875,5.71875,3.4126176834106445,2621600
2000-05-08,5.71875,5.75,5.53125,5.625,3.356673002243042,1285000
2000-05-09,5.625,5.71875,5.5,5.53125,3.300729274749756,1185000
2000-05-10,5.46875,5.5625,5.28125,5.4375,3.2447850704193115,1142200
2000-05-11,5.375,5.40625,5.09375,5.1875,3.095599889755249,2037000
2000-05-12,5.25,5.46875,5.1875,5.3125,3.1701929569244385,1652800
2000-05-15,5.28125,5.5,5.28125,5.4375,3.2447850704193115,1148800
2000-05-16,5.5,6.0,5.4375,5.75,3.4312660694122314,2370200
2000-05-17,5.75,5.75,5.59375,5.65625,3.375321626663208,1245600
2000-05-18,5.53125,5.59375,5.46875,5.5,3.28208065032959,995000
2000-05-19,5.53125,5.53125,5.3125,5.3125,3.1701929569244385,697200
2000-05-22,5.375,5.4375,5.0625,5.09375,3.039653778076172,1027600
2000-05-23,5.125,5.1875,5.0,5.03125,3.002357244491577,987800
2000-05-24,5.0625,5.09375,4.96875,4.96875,2.9650609493255615,571400
2000-05-25,4.96875,5.09375,4.90625,4.9375,2.94641375541687,932000
2000-05-26,4.96875,4.96875,4.625,4.75,2.834524393081665,977400
2000-05-30,4.75,4.84375,4.75,4.78125,2.8531720638275146,861600
2000-05-31,4.75,4.8125,4.53125,4.59375,2.741283893585205,1048800
2000-06-01,4.5625,4.65625,4.46875,4.5,2.68533992767334,1102800
2000-06-02,4.625,4.75,4.59375,4.6875,2.7972285747528076,1331800
2000-06-05,4.65625,4.78125,4.5625,4.75,2.834524393081665,1075400
2000-06-06,4.75,4.9375,4.6875,4.6875,2.7972285747528076,1716600
2000-06-07,4.6875,4.71875,4.5625,4.59375,2.741283893585205,752600
2000-06-08,4.5625,4.59375,4.46875,4.53125,2.703986644744873,953200
2000-06-09,4.53125,4.59375,4.4375,4.4375,2.6480422019958496,535400
2000-06-12,4.4375,4.53125,4.40625,4.40625,2.629395008087158,764200
2000-06-13,4.53125,4.65625,4.46875,4.46875,2.6666901111602783,1109600
2000-06-14,4.53125,4.71875,4.53125,4.6875,2.7972285747528076,1373400
2000-06-15,4.6875,4.8125,4.53125,4.6875,2.7972285747528076,1707800
2000-06-16,4.65625,4.9375,4.65625,4.84375,2.8904690742492676,4253600
2000-06-19,4.875,4.90625,4.78125,4.84375,2.8904690742492676,1813800
2000-06-20,4.84375,4.84375,4.53125,4.53125,2.703986644744873,1508400
2000-06-21,4.59375,4.75,4.5,4.71875,2.8158762454986572,1204200
2000-06-22,4.71875,4.90625,4.625,4.8125,2.871821165084839,1293400
2000-06-23,4.875,4.90625,4.8125,4.84375,2.8904690742492676,872400
2000-06-26,4.84375,4.875,4.71875,4.8125,2.871821165084839,1311400
