Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,28.0625,28.75,27.125,27.1875,21.2093448638916,1730100
2000-01-04,27.25,28.0,26.875,27.375,21.355613708496094,1373300
2000-01-05,27.375,27.8125,26.5,26.5,20.67301368713379,1450800
2000-01-06,26.625,27.375,26.5,26.6875,20.81928825378418,1269400
2000-01-07,27.0,28.4375,26.375,27.6875,21.59939193725586,1509400
2000-01-10,29.0,29.0,27.625,28.0,21.84318733215332,1381500
2000-01-11,28.0,28.125,27.5625,27.875,21.745670318603516,1357200
2000-01-12,28.0,29.125,28.0,28.4375,22.18448257446289,2002200
2000-01-13,28.5,28.75,28.125,28.125,21.940702438354492,1132200
2000-01-14,28.25,28.375,27.4375,27.5,21.453125,1553000
2000-01-18,27.625,28.1875,27.5,27.5625,21.50188446044922,1095600
2000-01-19,27.875,28.4375,27.25,27.25,21.258098602294922,2531300
2000-01-20,27.0,27.0625,26.125,26.125,20.380470275878906,1705800
2000-01-21,26.125,26.1875,24.5,25.25,19.697872161865234,3337200
2000-01-24,25.6875,25.75,25.0625,25.0625,19.55159568786621,1050900
2000-01-25,25.3125,25.4375,24.125,24.125,18.820240020751953,1206900
2000-01-26,24.25,24.875,24.25,24.375,19.015275955200195,935900
2000-01-27,24.5,24.875,24.375,24.8125,19.35657501220703,645700
2000-01-28,24.625,24.6875,23.0625,23.4375,18.28391456604004,1650000
2000-01-31,23.25,23.75,22.75,23.75,18.527700424194336,1505000
2000-02-01,23.6875,24.5,23.25,24.0,18.722734451293945,1224500
2000-02-02,23.9375,24.0,22.625,23.25,18.137645721435547,1013300
2000-02-03,22.75,23.25,22.4375,22.75,17.747587203979492,1733600
2000-02-04,22.8125,23.0,22.25,22.25,17.357528686523438,917200
2000-02-07,22.625,23.4375,22.1875,23.0,17.942617416381836,1357200
2000-02-08,23.25,23.4375,22.0625,22.0625,17.211257934570312,1651700
2000-02-09,22.125,23.9375,22.125,22.75,17.747587203979492,2877600
2000-02-10,23.125,23.625,22.5625,23.0,17.942617416381836,2212100
2000-02-11,23.0,23.125,21.875,21.875,17.064987182617188,1912400
2000-02-14,21.625,23.125,21.625,22.0,17.401147842407227,1925000
2000-02-15,22.0,25.125,21.9375,23.875,18.88419532775879,2625900
2000-02-16,25.25,25.25,23.625,23.9375,18.933637619018555,1907700
2000-02-17,24.375,24.375,23.375,23.375,18.48871612548828,833300
2000-02-18,23.4375,24.3125,22.875,23.625,18.686464309692383,1730500
2000-02-22,23.6875,25.4375,23.5,24.375,19.279680252075195,1546500
