Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,37.625,37.9375,35.0,35.5625,20.339258193969727,312300
2000-01-04,35.0,35.5,34.5625,35.125,20.08904457092285,318300
2000-01-05,34.875,35.75,34.5625,35.4375,20.267770767211914,255400
2000-01-06,35.125,37.125,35.0,36.25,20.73246192932129,212700
2000-01-07,36.5,37.625,36.375,37.3125,21.340139389038086,153000
2000-01-10,36.75,36.875,35.75,36.375,20.803956985473633,185400
2000-01-11,36.25,36.8125,35.8125,36.4375,20.839693069458008,140500
2000-01-12,36.6875,37.25,36.0,36.3125,20.768207550048828,183400
2000-01-13,36.25,37.5625,36.25,36.9375,21.125656127929688,209400
2000-01-14,36.375,37.25,36.0625,36.9375,21.125656127929688,406000
2000-01-18,36.0,36.75,35.75,36.4375,20.839693069458008,185100
2000-01-19,36.3125,37.0625,36.21875,36.6875,20.982675552368164,248300
2000-01-20,36.6875,37.0625,36.5625,36.8125,21.054176330566406,236200
2000-01-21,37.5,37.5,36.5625,36.625,20.946929931640625,246300
2000-01-24,36.375,36.5625,35.8125,35.8125,20.482255935668945,283600
2000-01-25,35.5625,36.1875,34.875,35.625,20.3749942779541,404600
2000-01-26,35.625,36.25,34.75,36.1875,20.69671630859375,245600
2000-01-27,35.75,36.375,35.375,36.0625,20.62522315979004,154900
2000-01-28,36.0625,36.1875,34.6875,35.875,20.517980575561523,425100
2000-01-31,35.875,36.125,35.5,35.6875,20.410757064819336,206000
2000-02-01,35.4375,35.625,35.0,35.4375,20.267770767211914,169500
2000-02-02,35.375,35.625,35.0,35.3125,20.19627571105957,269300
2000-02-03,35.0,36.3125,35.0,36.1875,20.69671630859375,320200
2000-02-04,36.1875,36.1875,35.4375,35.5,20.30352210998535,224700
2000-02-07,35.25,35.5,34.875,35.0,20.017545700073242,317700
2000-02-08,34.0,34.5625,33.5,34.5625,19.767330169677734,326900
2000-02-09,33.875,33.875,32.25,33.3125,19.052417755126953,510600
2000-02-10,33.3125,33.75,32.75,33.5,19.159652709960938,274700
2000-02-11,33.0,33.75,31.5625,32.5625,18.62346839904785,374900
2000-02-14,32.0,32.4375,31.3125,32.4375,18.551973342895508,274300
2000-02-15,32.25,33.875,32.125,33.5,19.159652709960938,276800
2000-02-16,33.5,33.5,32.1875,33.125,18.9451847076416,204100
2000-02-17,33.375,33.5,31.75,32.375,18.51622772216797,257600
2000-02-18,32.0,32.0,31.5,31.75,18.15877914428711,196700
2000-02-22,31.3125,32.4375,31.125,31.6875,18.123029708862305,375700
2000-02-23,31.75,31.75,30.25,30.3125,17.336626052856445,381100
2000-02-24,30.375,30.375,29.3125,30.25,17.300891876220703,780100
2000-02-25,29.9375,30.25,29.25,29.75,17.01491928100586,224200
2000-02-28,29.75,30.1875,29.6875,29.8125,17.050655364990234,476900
2000-02-29,29.5625,30.625,29.1875,30.0,17.157894134521484,471200
2000-03-01,30.25,30.25,29.5625,29.9375,17.12215805053711,296700
2000-03-02,30.1875,30.1875,29.0,29.3125,16.764705657958984,5187800
2000-03-03,29.25,32.0,28.8125,30.0,17.157894134521484,1271000
2000-03-06,30.375,30.375,28.75,29.875,17.086408615112305,469300
2000-03-07,29.875,30.4375,28.8125,29.125,16.65746307373047,646000
2000-03-08,29.125,30.6875,29.125,29.875,17.086408615112305,438400
2000-03-09,30.0625,31.625,30.0625,30.75,17.586849212646484,502100
2000-03-10,30.375,31.625,29.375,31.25,17.87281608581543,473100
2000-03-13,31.0,31.375,30.5,31.0,17.729829788208008,396700
2000-03-14,31.0,31.25,30.5625,31.125,17.80131721496582,223400
2000-03-15,31.9375,34.1875,31.0,33.8125,19.3383846282959,426500
2000-03-16,33.5,35.5,32.875,35.375,20.23202133178711,517700
2000-03-17,35.4375,35.4375,34.5,35.0,20.017545700073242,368500
2000-03-20,35.0,35.0,34.1875,34.4375,19.695837020874023,395800
2000-03-21,34.6875,35.125,34.0,34.8125,19.910306930541992,256800
2000-03-22,34.125,34.25,33.1875,33.4375,19.33496856689453,283400
2000-03-23,33.25,34.75,33.1875,34.25,19.804786682128906,158200
2000-03-24,34.0,34.5,33.8125,34.1875,19.768640518188477,219100
2000-03-27,33.9375,34.0,32.9375,32.9375,19.045835494995117,202500
2000-03-28,33.0625,33.875,32.6875,32.6875,18.901283264160156,185800
2000-03-29,32.9375,33.9375,32.9375,33.6875,19.479520797729492,202400
2000-03-30,33.6875,35.0625,33.375,33.8125,19.55179786682129,366100
2000-03-31,34.0,35.5,33.625,35.0625,20.27461051940918,176900
2000-04-03,35.0,36.375,34.75,35.8125,20.70828628540039,260900
2000-04-04,35.5625,36.875,34.6875,35.6875,20.63600730895996,304100
2000-04-05,35.75,36.4375,34.875,35.1875,20.346879959106445,181400
2000-04-06,34.5,35.1875,34.375,34.8125,20.13003921508789,215900
2000-04-07,34.75,35.3125,34.5,34.8125,20.13003921508789,199100
2000-04-10,34.625,35.6875,34.625,35.375,20.45530891418457,129900
2000-04-11,36.0,36.75,36.0,36.6875,21.21424102783203,212000
2000-04-12,36.4375,37.8125,36.25,36.3125,20.99740982055664,267200
2000-04-13,36.4375,37.375,36.4375,36.9375,21.358800888061523,167300
2000-04-14,36.25,36.6875,34.625,34.9375,20.202322006225586,272700
2000-04-17,35.0625,36.625,34.25,36.4375,21.069679260253906,300000
2000-04-18,36.25,36.25,34.125,35.25,20.38302230834961,217700
2000-04-19,35.0,35.0,34.1875,34.375,19.877065658569336,183500
2000-04-20,35.0,35.375,34.0,34.75,20.093902587890625,230700
2000-04-24,35.0,35.375,34.8125,35.25,20.38302230834961,154600
2000-04-25,35.0625,36.125,34.5625,36.0,20.816699981689453,123300
2000-04-26,36.25,36.5,34.875,35.1875,20.346879959106445,181500
2000-04-27,37.0,37.0,34.4375,34.75,20.093902587890625,202500
2000-04-28,34.25,34.6875,33.5625,34.4375,19.913209915161133,253300
2000-05-01,33.875,34.75,33.5,34.5625,19.985483169555664,181200
2000-05-02,34.3125,34.5,33.625,34.3125,19.84092140197754,203200
2000-05-03,34.0625,34.125,33.5,33.9375,19.624080657958984,431100
