Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,58.1875,58.33333206176758,55.5,57.33333206176758,45.48166275024414,5626200
2000-01-04,55.5625,58.83333206176758,53.5,54.8125,43.4819221496582,6387000
2000-01-05,53.84375,56.66666793823242,52.33333206176758,54.39583206176758,43.151390075683594,7562400
2000-01-06,54.5,56.5,51.35416793823242,52.0,41.25081253051758,3063600
2000-01-07,50.625,54.16666793823242,50.0,54.14583206176758,42.95307540893555,4957200
2000-01-10,56.47916793823242,56.5,52.92708206176758,54.25,43.03571319580078,18047400
2000-01-11,54.79166793823242,57.66666793823242,53.95833206176758,53.97916793823242,42.82086944580078,8139000
2000-01-12,54.83333206176758,54.83333206176758,48.83333206176758,51.29166793823242,40.688907623291016,11376000
2000-01-13,52.98958206176758,53.0,51.0,52.40625,41.57309341430664,6484800
2000-01-14,55.5,57.16666793823242,55.0,56.6875,44.96934127807617,10500600
2000-01-18,55.125,60.0,55.125,59.375,47.10129928588867,8448000
2000-01-19,60.875,61.25,56.8125,59.5,47.2004508972168,9051000
2000-01-20,60.25,60.28125,57.4375,58.46875,46.38237762451172,6099400
2000-01-21,59.0625,75.0859375,58.25,74.96875,59.47157669067383,15106000
2000-01-24,74.3125,74.875,69.40625,70.6875,56.075340270996094,7957200
2000-01-25,71.5,72.9375,67.0,71.4375,56.670291900634766,5003800
2000-01-26,72.5,74.5625,70.625,71.875,57.01734924316406,3699800
2000-01-27,72.625,74.0,70.5625,71.21875,56.49676513671875,3553200
2000-01-28,69.5,72.9375,69.21875,70.375,55.827430725097656,3815800
2000-01-31,69.0,69.3125,62.53125,67.65625,53.670684814453125,2956200
2000-02-01,68.1875,71.6875,67.09375,69.25,54.93498992919922,2484800
2000-02-02,70.5,72.40625,68.5,68.53125,54.36479949951172,2109200
2000-02-03,70.5625,78.125,70.25,77.46875,61.45480728149414,8828200
2000-02-04,78.0,86.46875,78.0,85.0,67.42922973632812,8400600
2000-02-07,92.0625,92.15625,84.375,86.5,68.61913299560547,4766200
2000-02-08,86.0,87.0625,84.75,84.8125,67.28048706054688,6035400
2000-02-09,86.25,102.34375,85.75,92.96875,73.750732421875,10104200
2000-02-10,94.5,107.0,90.3125,104.25,82.699951171875,6848600
2000-02-11,108.03125,115.0,103.5,107.9375,85.62517547607422,7086800
2000-02-14,111.0,115.5,100.40625,102.03125,80.9398422241211,6503800
2000-02-15,103.375,109.25,100.125,106.4375,84.4352798461914,4894000
2000-02-16,107.5,111.0,103.5625,110.25,87.45966339111328,5243800
2000-02-17,112.125,125.625,111.5,120.625,95.68999481201172,6202600
2000-02-18,124.4375,134.875,115.21875,119.15625,94.52487182617188,8021600
2000-02-22,122.75,123.6875,110.25,115.375,91.5252456665039,4641600
2000-02-23,117.0,124.875,111.25,117.46875,93.18620300292969,3046000
2000-02-24,119.9375,121.0,111.625,114.5,90.83113861083984,4270800
2000-02-25,114.875,119.46875,114.84375,116.375,92.31854248046875,1924400
2000-02-28,116.3125,120.0,114.375,114.53125,90.85592651367188,2423800
2000-02-29,119.875,140.375,116.46875,137.15625,108.80396270751953,8118000
2000-03-01,141.5,147.875,132.125,135.5,107.49012756347656,6176800
2000-03-02,138.6875,139.0,130.0,130.125,103.22618865966797,3247200
2000-03-03,137.0,138.25,130.25,132.21875,104.88712310791016,4632400
2000-03-06,134.875,142.4296875,133.5,135.3125,107.34136962890625,3950800
2000-03-07,139.6875,140.5,132.21875,139.34375,110.539306640625,4547800
2000-03-08,143.75,143.75,129.25,137.3125,108.92794036865234,4872400
2000-03-09,138.21875,139.8125,133.5625,138.0,109.47330474853516,4309000
2000-03-10,137.5,150.625,135.5,141.21875,112.02668762207031,4848000
2000-03-13,134.0,139.03125,131.1875,131.9375,104.6640396118164,4513600
2000-03-14,137.6875,137.71875,122.5,122.78125,97.4005126953125,3861600
2000-03-15,121.25,126.5,111.0,114.875,91.12859344482422,8105200
2000-03-16,117.5,122.5,103.75,118.5,94.00425720214844,6631200
2000-03-17,120.0,131.75,118.7578125,124.96875,99.13581848144531,3786600
2000-03-20,127.125,127.125,116.28125,117.53125,93.23576354980469,2331600
2000-03-21,115.15625,130.0,106.5,128.5,101.93711853027344,5706800
2000-03-22,131.5,138.0,131.0,133.125,105.6060562133789,3926000
2000-03-23,135.4375,137.3125,127.6875,135.0,107.09349060058594,2597000
2000-03-24,135.875,139.75,133.125,134.5,106.69684600830078,2638400
2000-03-27,137.0625,141.5,135.25,138.21875,109.64685821533203,3816800
2000-03-28,143.75,154.25,140.8125,153.5,121.7692642211914,12803200
2000-03-29,156.0,156.46875,143.875,144.0,114.2330322265625,7584200
2000-03-30,137.5,144.0,125.0,133.5,105.90354919433594,8701000
2000-03-31,136.75,138.3125,123.015625,131.78125,104.54006958007812,7362000
2000-04-03,132.0,135.75,108.125,116.5,92.41768646240234,6884800
2000-04-04,118.9375,118.96875,93.375,105.25,83.49323272705078,17826000
2000-04-05,100.5,119.9375,100.0,109.375,86.76553344726562,7253000
2000-04-06,111.34375,122.4375,110.5,120.625,95.68999481201172,5139200
2000-04-07,122.5703125,135.5,122.5,134.7109375,106.86417388916016,6313200
2000-04-10,136.75,137.0,117.125,119.0,94.4009017944336,7904600
2000-04-11,113.5,123.8125,108.125,111.625,88.5504379272461,10761400
2000-04-12,111.21875,115.0,99.1875,102.0625,80.96463775634766,12961000
2000-04-13,102.25,104.0,87.3125,87.5,69.41242218017578,17059200
2000-04-14,84.5,95.25,75.75,79.03125,62.694297790527344,21403200
2000-04-17,76.5,89.46875,76.0,86.28125,68.44560241699219,14248800
2000-04-18,88.4375,100.875,87.5,99.0,78.53521728515625,11058400
2000-04-19,101.625,103.125,91.0,91.375,72.48639678955078,8001000
2000-04-20,94.21875,97.375,88.15625,93.0625,73.8250961303711,6118200
2000-04-24,86.5,91.15625,77.84375,87.28125,69.23889923095703,8853600
2000-04-25,90.625,96.4375,88.5,96.25,76.3536605834961,5931200
2000-04-26,96.5625,101.5,92.5,97.8125,77.59317779541016,6391000
2000-04-27,91.5625,104.5,91.0,104.46875,82.87347412109375,9508400
2000-04-28,105.75,111.25,103.5,106.34375,84.36091613769531,7273600
2000-05-01,108.96875,113.8125,107.625,109.46875,86.83992004394531,6014000
2000-05-02,107.03125,109.25,98.375,98.9375,78.48560333251953,5825000
2000-05-03,98.625,102.6875,90.40625,97.4375,77.29570770263672,7680200
2000-05-04,95.6875,97.4375,91.0,91.5,72.5855712890625,8804400
