Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,38.875,39.3125,38.25,39.0625,20.64886474609375,512000
2000-01-04,38.875,39.0625,37.5625,37.9375,20.054162979125977,729300
2000-01-05,37.9375,39.0625,36.5625,36.625,19.360370635986328,520000
2000-01-06,37.0,37.5,36.1875,37.0,19.714704513549805,518400
2000-01-07,37.75,39.0625,37.1875,37.9375,20.214221954345703,279700
2000-01-10,38.5,38.6875,36.375,38.0,20.247543334960938,624700
2000-01-11,37.125,37.625,37.125,37.4375,19.94781494140625,330800
2000-01-12,37.5,37.5,35.5,37.25,19.847915649414062,794700
2000-01-13,38.0,39.625,37.875,39.5,21.046789169311523,786600
2000-01-14,41.375,41.375,38.4375,38.875,20.713760375976562,470600
2000-01-18,38.0,38.4375,37.625,37.9375,20.214221954345703,335500
2000-01-19,37.0,37.625,35.625,36.625,19.514892578125,603200
2000-01-20,36.625,36.625,34.375,34.75,18.515836715698242,702600
2000-01-21,35.0,36.5,33.625,35.8125,19.081972122192383,999500
2000-01-24,36.5,36.75,34.5625,34.9375,18.615741729736328,710600
2000-01-25,34.625,36.0,34.5,35.875,19.115270614624023,1016700
2000-01-26,35.625,36.3125,34.375,36.25,19.315074920654297,504900
2000-01-27,35.75,36.5625,35.6875,36.0625,19.215179443359375,586400
2000-01-28,34.875,36.8125,34.875,35.8125,19.081972122192383,607200
2000-01-31,35.9375,36.9375,35.8125,36.9375,19.6814022064209,347100
2000-02-01,38.0,39.375,37.5,37.6875,20.081031799316406,964500
2000-02-02,37.25,38.8125,37.0,38.4375,20.48064422607422,911400
2000-02-03,37.375,38.125,36.25,37.5,19.98111343383789,610800
2000-02-04,36.75,37.625,35.9375,36.1875,19.28178596496582,592000
2000-02-07,36.75,36.875,34.125,34.25,18.249425888061523,1175400
2000-02-08,34.6875,35.5625,34.375,35.25,18.782257080078125,776800
2000-02-09,34.4375,35.125,33.5625,33.5625,17.883094787597656,511100
2000-02-10,33.0625,33.875,32.5,33.0625,17.616689682006836,483800
2000-02-11,32.8125,33.875,32.25,32.25,17.18375587463379,387900
2000-02-14,32.75,32.75,31.75,32.25,17.18375587463379,355100
2000-02-15,32.4375,33.0625,32.125,32.625,17.383577346801758,503500
2000-02-16,30.75,31.9375,30.75,31.5,16.784143447875977,551900
