Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.3125,48.5,45.75,47.4375,14.979708671569824,697900
2000-01-04,46.25,46.75,45.5625,45.8125,14.466570854187012,623100
2000-01-05,46.0,46.125,44.875,45.75,14.4468355178833,890800
2000-01-06,44.9375,45.25,44.5625,45.125,14.249469757080078,743600
2000-01-07,45.9375,46.25,44.6875,45.9375,14.5060453414917,831800
2000-01-10,46.375,46.5,44.875,45.625,14.40736198425293,374500
2000-01-11,45.875,48.6875,45.875,47.5,14.999445915222168,675000
2000-01-12,47.5,49.1875,47.3125,48.8125,15.413914680480957,811500
2000-01-13,49.0,50.3125,48.4375,50.25,15.867837905883789,1237800
2000-01-14,49.75,49.9375,48.125,48.375,15.2757568359375,679400
2000-01-18,48.0,48.625,47.375,48.5,15.31522274017334,1112200
2000-01-19,48.25,49.9375,48.0625,49.9375,15.769159317016602,1103800
2000-01-20,49.6875,50.25,47.5625,47.5625,15.019186019897461,1010100
2000-01-21,47.625,47.625,45.0,46.0,14.52578067779541,1315200
2000-01-24,45.875,47.0,44.625,45.25,14.288947105407715,958100
2000-01-25,44.625,45.375,41.5625,43.5,13.736336708068848,1203000
2000-01-26,43.625,44.25,43.0625,43.5,13.736336708068848,976100
2000-01-27,45.0,48.0,45.0,45.9375,14.5060453414917,1356900
2000-01-28,46.75,48.375,45.0625,45.0625,14.229741096496582,1263400
2000-01-31,45.125,50.0,45.125,49.0,15.473114967346191,1073800
2000-02-01,49.0625,49.75,48.125,49.5625,15.650740623474121,883600
2000-02-02,48.375,49.25,47.6875,47.6875,15.058648109436035,897700
2000-02-03,48.25,50.625,47.75,50.4375,15.927047729492188,1306600
2000-02-04,51.0,51.25,49.5,50.125,15.828361511230469,977300
2000-02-07,51.25,51.25,49.375,49.8125,15.729682922363281,664000
2000-02-08,50.125,50.75,47.5,48.0,15.157333374023438,846200
2000-02-09,48.1875,48.9375,47.3125,47.3125,14.9402437210083,812900
2000-02-10,47.3125,48.375,47.1875,47.625,15.038918495178223,563800
2000-02-11,47.625,47.625,46.25,47.0,14.841562271118164,676700
2000-02-14,47.0,48.5,46.5625,46.875,14.802085876464844,677600
2000-02-15,47.8125,50.9375,47.5,49.875,15.749422073364258,811500
2000-02-16,49.5,50.1875,48.8125,49.0625,15.492851257324219,843300
2000-02-17,49.5,53.0,49.5,51.4375,16.242826461791992,1371000
2000-02-18,51.25,53.375,51.25,53.0,16.736221313476562,1639600
2000-02-22,51.875,52.75,50.3125,50.6875,16.00598907470703,1087500
2000-02-23,50.25,51.0625,49.875,50.0,15.878173828125,814000
2000-02-24,49.75,50.0,47.1875,48.75,15.481219291687012,1355800
2000-02-25,48.125,48.8125,47.125,48.4375,15.381979942321777,806700
2000-02-28,47.75,50.125,47.625,49.6875,15.778936386108398,827800
2000-02-29,49.0,50.8125,48.375,49.5,15.719391822814941,1093700
2000-03-01,49.25,53.875,48.75,53.75,17.06903076171875,1026000
2000-03-02,54.0,54.125,51.8125,52.75,16.7514705657959,888500
2000-03-03,51.5,51.9375,50.375,50.875,16.15604019165039,720200
2000-03-06,50.875,50.875,48.6875,48.6875,15.461369514465332,1118900
2000-03-07,49.0,50.0,48.1875,48.3125,15.342284202575684,1752600
2000-03-08,49.0,49.1875,46.25,48.5,15.401830673217773,1605600
2000-03-09,48.5,49.9375,47.0,47.75,15.163657188415527,1342200
2000-03-10,47.75,47.75,46.125,46.125,14.64762020111084,1928500
2000-03-13,44.5625,46.1875,44.5625,45.9375,14.588066101074219,1833400
2000-03-14,45.6875,47.5625,45.0625,46.875,14.885780334472656,1264700
2000-03-15,45.5625,47.9375,44.75,47.6875,15.143805503845215,2114600
2000-03-16,47.0,48.375,44.5,47.8125,15.18349838256836,1317200
2000-03-17,46.625,47.375,41.0,43.9375,13.9529390335083,7050500
2000-03-20,44.75,44.75,42.0,43.125,13.69492244720459,1925100
2000-03-21,42.25,44.25,42.125,44.0625,13.992643356323242,1056100
2000-03-22,44.0,44.3125,43.0625,43.4375,13.794159889221191,1128400
2000-03-23,43.75,46.5625,43.75,45.6875,14.508675575256348,2040500
2000-03-24,44.75,45.9375,44.375,45.375,14.409445762634277,1040000
2000-03-27,45.3125,45.8125,44.0,44.8125,14.23081111907959,763500
2000-03-28,44.8125,45.9375,44.8125,45.125,14.330039978027344,750700
2000-03-29,45.1875,45.875,43.375,43.625,13.853699684143066,729900
2000-03-30,43.375,44.0,43.0625,43.625,13.853699684143066,675900
2000-03-31,44.4375,46.0625,44.0,44.6875,14.191104888916016,744900
2000-04-03,44.5625,45.0,43.0,43.4375,13.794159889221191,904800
2000-04-04,43.5,46.1875,43.5,46.125,14.64762020111084,1186500
2000-04-05,45.375,47.0,45.25,46.5625,14.786543846130371,763500
2000-04-06,46.125,46.75,44.875,45.5625,14.468977928161621,710500
2000-04-07,45.875,46.9375,44.5,45.1875,14.349895477294922,990300
2000-04-10,45.125,45.375,44.375,44.75,14.210960388183594,619900
2000-04-11,44.75,45.1875,43.9375,44.0,13.972783088684082,508700
2000-04-12,44.5,45.6875,43.875,44.6875,14.191104888916016,1103500
2000-04-13,44.875,45.1875,44.0,44.25,14.052184104919434,605100
2000-04-14,43.25,44.4375,42.1875,42.8125,13.59567928314209,630300
2000-04-17,42.9375,43.5,42.1875,43.125,13.69492244720459,678800
2000-04-18,42.75,42.75,37.4375,38.9375,12.36512279510498,3895800
2000-04-19,38.75,41.125,38.5,39.9375,12.682693481445312,1733100
2000-04-20,40.125,41.5625,39.9375,40.3125,12.801770210266113,1985400
2000-04-24,40.3125,40.625,40.0625,40.3125,12.801770210266113,1239200
2000-04-25,40.3125,43.4375,40.3125,42.4375,13.476600646972656,1440800
2000-04-26,41.0625,41.75,40.5625,41.0,13.020092010498047,842700
2000-04-27,40.875,41.6875,40.0,40.125,12.742232322692871,1101800
2000-04-28,39.875,41.125,39.6875,40.875,12.980403900146484,1135700
2000-05-01,40.625,40.75,39.6875,40.0,12.702536582946777,663000
2000-05-02,40.0,40.3125,39.75,40.0,12.702536582946777,831000
2000-05-03,39.9375,40.125,38.9375,39.875,12.662839889526367,797800
2000-05-04,39.5,39.9375,39.3125,39.5,12.543752670288086,1029900
2000-05-05,39.5,40.1875,39.1875,39.375,12.504057884216309,715100
2000-05-08,39.875,40.5,39.4375,40.25,12.7819242477417,545000
2000-05-09,40.25,40.9375,39.6875,40.8125,12.960559844970703,657700
2000-05-10,40.5625,40.625,39.8125,40.1875,12.762083053588867,692500
2000-05-11,40.0625,40.125,39.375,39.875,12.662839889526367,1324000
2000-05-12,39.9375,40.25,39.375,39.84375,12.652915954589844,571400
2000-05-15,39.75,39.9375,39.125,39.5625,12.563599586486816,555000
2000-05-16,39.75,41.4375,39.5625,41.25,13.099485397338867,1196700
2000-05-17,41.0625,41.0625,39.75,40.6875,12.920859336853027,368200
2000-05-18,40.6875,40.875,39.8125,40.0625,12.722384452819824,415800
2000-05-19,40.0625,41.375,39.75,40.375,12.821621894836426,691700
2000-05-22,40.0,40.1875,39.375,39.75,12.623143196105957,632000
2000-05-23,40.125,40.5,38.875,38.9375,12.36512279510498,891000
2000-05-24,38.375,40.5625,38.375,40.0625,12.816193580627441,556100
2000-05-25,39.8125,42.625,39.8125,41.75,13.356032371520996,1002600
2000-05-26,41.25,41.75,40.875,41.1875,13.176081657409668,543500
2000-05-30,41.75,44.25,41.25,42.9375,13.735921859741211,1065000
2000-05-31,43.625,45.0,43.125,43.5,13.91585922241211,1047400
2000-06-01,43.25,45.75,43.25,45.5,14.555672645568848,749500
2000-06-02,45.5,46.4375,45.0625,45.4375,14.535683631896973,853300
2000-06-05,45.375,45.625,44.3125,44.5,14.235771179199219,423600
2000-06-06,44.25,44.3125,42.5,42.75,13.675935745239258,1000300
2000-06-07,43.3125,44.1875,42.875,43.1875,13.815895080566406,916600
2000-06-08,43.1875,43.1875,42.625,42.875,13.715928077697754,380800
2000-06-09,42.9375,43.3125,42.5,43.0625,13.775908470153809,522400
2000-06-12,43.125,43.375,42.625,42.9375,13.735921859741211,462000
2000-06-13,43.0,43.0,42.25,42.75,13.675935745239258,531100
2000-06-14,42.5,42.875,40.0,40.0,12.796196937561035,1969500
2000-06-15,40.0625,40.8125,39.875,40.0625,12.816193580627441,993000
2000-06-16,40.0,40.0625,38.0,38.5,12.316333770751953,1362200
2000-06-19,38.5,38.5625,37.5625,37.875,12.116402626037598,807300
2000-06-20,37.9375,38.0,35.625,36.0,11.516576766967773,1469800
2000-06-21,36.625,37.3125,36.0625,37.0,11.836481094360352,3084000
2000-06-22,37.75,39.125,37.6875,38.0,12.156384468078613,2110300
2000-06-23,36.75,39.5,36.75,38.625,12.356329917907715,1369900
2000-06-26,37.875,38.8125,37.875,38.75,12.396313667297363,1317300
2000-06-27,39.0,39.4375,38.71875,39.375,12.596254348754883,1087900
2000-06-28,39.3125,39.875,39.3125,39.65625,12.686234474182129,721700
2000-06-29,39.0,39.4375,38.875,39.0625,12.4962797164917,1312200
2000-06-30,38.875,40.109375,38.0625,40.0,12.796196937561035,1472400
2000-07-03,39.75,40.4375,39.125,40.25,12.876172065734863,196200
2000-07-05,40.375,40.375,39.4375,39.5625,12.65623664855957,586400
2000-07-06,39.625,39.875,38.375,38.75,12.396313667297363,1200700
2000-07-07,39.25,40.1875,39.0,39.1875,12.536273002624512,1338700
2000-07-10,38.9375,39.1875,38.4375,38.625,12.356329917907715,969000
2000-07-11,38.75,39.3125,38.625,39.0,12.476288795471191,855000
2000-07-12,37.5,39.25,36.875,38.0,12.156384468078613,1698200
2000-07-13,39.0,39.5625,38.1875,38.4375,12.296343803405762,860000
2000-07-14,38.375,38.625,37.6875,37.6875,12.05642032623291,577700
2000-07-17,37.8125,38.25,36.1875,36.875,11.796488761901855,974100
2000-07-18,36.75,37.0,36.0625,36.375,11.636543273925781,733900
2000-07-19,37.0625,37.125,36.0,36.5,11.676531791687012,1050200
2000-07-20,36.625,38.0,36.625,38.0,12.156384468078613,1492800
2000-07-21,37.75,37.9375,37.0625,37.625,12.036422729492188,812700
2000-07-24,37.375,37.625,37.125,37.5,11.996431350708008,937700
2000-07-25,37.375,37.375,36.5625,36.75,11.75650405883789,368700
2000-07-26,36.375,36.625,35.5,35.625,11.396613121032715,664900
2000-07-27,35.5,35.75,33.75,34.5,11.036718368530273,987600
2000-07-28,34.625,34.9375,33.8125,33.875,10.836777687072754,625400
2000-07-31,33.875,35.6875,33.875,34.625,11.076709747314453,662600
2000-08-01,34.875,35.625,34.6875,34.875,11.156681060791016,438700
2000-08-02,35.75,36.125,35.0625,35.5,11.356624603271484,604900
2000-08-03,36.375,37.8125,35.8125,37.125,11.876472473144531,730400
2000-08-04,37.1875,37.25,36.25,36.5625,11.69652271270752,823800
2000-08-07,35.9375,37.5,35.75,37.125,11.876472473144531,417500
2000-08-08,36.0625,37.3125,36.0,36.9375,11.816488265991211,539600
2000-08-09,36.25,36.46875,35.75,35.8125,11.456595420837402,734400
2000-08-10,35.5625,37.4375,35.5625,36.875,11.796488761901855,697600
2000-08-11,36.75,37.0625,36.0625,36.8125,11.776500701904297,582700
2000-08-14,36.6875,36.75,35.5,36.25,11.596553802490234,600700
2000-08-15,35.875,36.0625,35.0625,35.3125,11.296640396118164,988700
2000-08-16,35.125,36.375,35.125,36.0,11.516576766967773,794200
2000-08-17,35.125,35.875,35.125,35.125,11.23665714263916,840100
2000-08-18,35.125,35.75,35.125,35.3125,11.296640396118164,665600
2000-08-21,35.9375,35.9375,34.6875,34.9375,11.176679611206055,485400
2000-08-22,34.6875,35.8125,34.625,35.0,11.196670532226562,330800
2000-08-23,34.25,35.5,34.21875,34.9375,11.268437385559082,468400
2000-08-24,34.6875,35.1875,34.0625,34.25,11.046698570251465,396100
2000-08-25,34.5,35.375,34.0625,34.9375,11.268437385559082,435600
2000-08-28,34.6875,35.625,34.6875,35.375,11.4095458984375,570500
2000-08-29,35.3125,36.4375,35.0,35.25,11.369231224060059,571000
2000-08-30,35.25,36.75,35.1875,36.375,11.732074737548828,634600
2000-08-31,36.5625,37.3125,36.375,36.578125,11.797587394714355,785400
2000-09-01,36.5625,37.125,35.75,36.375,11.732074737548828,985300
2000-09-05,36.625,36.6875,36.125,36.5625,11.792550086975098,500200
2000-09-06,37.0,37.0,36.125,36.3125,11.711921691894531,960200
2000-09-07,37.125,37.875,37.125,37.625,12.135232925415039,692000
2000-09-08,37.6875,37.6875,36.9375,37.375,12.05460262298584,482700
2000-09-11,37.375,37.9375,36.75,36.75,11.85301685333252,743800
2000-09-12,37.0,37.5,36.6875,37.1875,11.99413013458252,532000
2000-09-13,37.8125,37.8125,37.1875,37.75,12.175554275512695,942700
2000-09-14,37.9375,38.6875,37.625,38.0625,12.276339530944824,1057800
2000-09-15,38.0625,38.4375,38.0,38.1875,12.316664695739746,713300
2000-09-18,38.1875,38.1875,37.5,37.625,12.135232925415039,593500
2000-09-19,37.5,37.6875,37.3125,37.5625,12.115081787109375,576500
2000-09-20,37.5625,38.125,37.5625,37.9375,12.236030578613281,616000
2000-09-21,38.0,38.3125,37.75,38.0625,12.276339530944824,784300
2000-09-22,38.0,38.3125,37.5,38.1875,12.316664695739746,1062800
2000-09-25,38.3125,38.3125,37.75,38.125,12.2965087890625,596600
2000-09-26,37.875,38.5625,37.5625,37.9375,12.236030578613281,822100
2000-09-27,37.9375,38.3125,37.75,38.0,12.256184577941895,638500
2000-09-28,38.0,39.25,37.8125,39.0,12.578716278076172,662000
2000-09-29,39.0625,39.4375,38.6875,39.4375,12.719823837280273,536800
2000-10-02,39.3125,39.375,38.59375,39.125,12.619033813476562,713500
2000-10-03,38.25,38.25,35.5,35.875,11.570806503295898,3486000
2000-10-04,36.0,36.125,35.1875,35.625,11.490178108215332,1474300
2000-10-05,27.5,27.5625,24.0,25.5,8.224546432495117,14536100
2000-10-06,25.9375,27.8125,25.5625,27.375,8.829291343688965,4881900
2000-10-09,27.75,28.4375,27.125,27.75,8.950241088867188,1696200
2000-10-10,27.5,28.1875,27.375,27.875,8.990557670593262,1710200
2000-10-11,27.0,28.3125,26.75,28.25,9.11151123046875,2098400
2000-10-12,28.25,28.3125,27.875,28.125,9.07119083404541,1209600
2000-10-13,28.0,28.5,27.875,28.4375,9.171979904174805,1743900
2000-10-16,28.0,28.1875,27.375,27.8125,8.970396995544434,765200
2000-10-17,27.5625,28.0,26.3125,27.1875,8.768816947937012,846400
2000-10-18,26.25,27.0,25.875,26.3125,8.486602783203125,2856700
