Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.9375,19.9375,19.75,19.8125,7.880274772644043,36200
2000-01-04,19.9375,19.9375,19.0,19.5,7.755977630615234,148500
2000-01-05,19.0,19.25,18.8125,19.25,7.656542778015137,178700
2000-01-06,19.375,19.8125,19.375,19.625,7.805694580078125,452800
2000-01-07,19.75,20.0,19.75,20.0,7.9548492431640625,290700
2000-01-10,20.0,20.1875,19.9375,20.125,8.004569053649902,158200
2000-01-11,20.125,20.3125,20.0,20.1875,8.029424667358398,146000
2000-01-12,20.25,20.25,20.0,20.0,7.9548492431640625,120000
2000-01-13,20.0,20.1875,19.9375,19.9375,7.929994106292725,85400
2000-01-14,20.0,20.0,19.75,19.75,7.855414390563965,80500
2000-01-18,19.875,20.6875,19.75,20.0625,7.979710578918457,548000
2000-01-19,20.125,20.3125,20.0625,20.1875,8.029424667358398,77100
2000-01-20,20.25,20.3125,20.125,20.3125,8.079143524169922,271000
2000-01-21,20.375,20.5,20.3125,20.4375,8.128860473632812,95000
2000-01-24,20.5,20.5,20.375,20.375,8.104005813598633,34600
2000-01-25,20.375,20.5625,20.375,20.4375,8.128860473632812,100400
2000-01-26,20.5,20.5625,20.4375,20.5,8.153722763061523,151100
2000-01-27,20.5,20.625,20.5,20.5625,8.178579330444336,59100
2000-01-28,20.625,20.625,20.4375,20.5,8.153722763061523,118700
2000-01-31,20.5,20.5,20.4375,20.4375,8.128860473632812,94800
2000-02-01,20.5,20.625,20.4375,20.5625,8.178579330444336,366600
2000-02-02,20.625,20.625,20.5,20.5,8.153722763061523,238200
2000-02-03,20.5625,20.625,20.5,20.5625,8.178579330444336,380400
2000-02-04,20.5625,20.5625,20.4375,20.5,8.153722763061523,101300
2000-02-07,20.375,20.625,20.375,20.5625,8.178579330444336,230300
2000-02-08,20.5,20.5625,20.375,20.4375,8.128860473632812,88000
2000-02-09,20.375,20.6875,20.25,20.4375,8.128860473632812,143500
2000-02-10,20.4375,20.5625,20.375,20.4375,8.128860473632812,93300
2000-02-11,20.5,20.6875,20.0625,20.0625,7.979710578918457,43200
2000-02-14,20.0625,20.375,20.0,20.3125,8.079143524169922,153200
2000-02-15,20.5625,20.625,20.375,20.625,8.203437805175781,144800
2000-02-16,20.625,20.6875,20.5,20.625,8.203437805175781,117900
2000-02-17,20.5,20.5625,20.4375,20.5625,8.178579330444336,102100
2000-02-18,20.5625,20.5625,20.3125,20.5,8.153722763061523,79300
2000-02-22,20.25,20.5625,20.25,20.5625,8.178579330444336,195500
2000-02-23,20.625,20.625,20.4375,20.5,8.153722763061523,103200
2000-02-24,20.5,20.5,20.1875,20.4375,8.128860473632812,235900
2000-02-25,20.25,20.25,20.125,20.25,8.054286003112793,43400
2000-02-28,20.125,20.25,20.0,20.125,8.004569053649902,135400
2000-02-29,20.1875,20.25,20.0,20.1875,8.029424667358398,172000
2000-03-01,20.25,20.25,20.0625,20.1875,8.029424667358398,169500
2000-03-02,20.25,20.25,20.0625,20.125,8.004569053649902,73300
2000-03-03,20.1875,20.1875,20.0625,20.0625,7.979710578918457,103400
2000-03-06,20.0,20.1875,19.9375,20.1875,8.029424667358398,106600
2000-03-07,20.0625,20.1875,20.0625,20.1875,8.029424667358398,170700
2000-03-08,20.125,20.3125,20.125,20.25,8.054286003112793,263200
2000-03-09,20.375,20.375,20.0625,20.1875,8.029424667358398,184000
2000-03-10,20.25,20.25,20.0,20.1875,8.029424667358398,201000
2000-03-13,20.125,20.25,20.0625,20.1875,8.029424667358398,681900
2000-03-14,20.25,20.375,20.1875,20.375,8.104005813598633,156800
2000-03-15,20.4375,20.75,20.375,20.75,8.253161430358887,372100
2000-03-16,20.75,20.9375,20.75,20.9375,8.32773494720459,337100
2000-03-17,20.9375,21.0625,20.875,20.9375,8.32773494720459,333000
2000-03-20,21.0,21.125,20.9375,21.0,8.35258960723877,73400
2000-03-21,20.875,21.0625,20.875,21.0,8.35258960723877,119400
2000-03-22,21.0625,21.375,21.0,21.375,8.501748085021973,215100
2000-03-23,21.3125,21.5,21.3125,21.5,8.551461219787598,512700
2000-03-24,21.5,21.5,21.3125,21.375,8.501748085021973,58700
2000-03-27,21.375,21.4375,21.1875,21.3125,8.476884841918945,66100
2000-03-28,21.3125,21.4375,21.0,21.125,8.402311325073242,30100
2000-03-29,21.125,21.25,21.0,21.1875,8.427167892456055,42800
2000-03-30,21.25,21.25,21.125,21.1875,8.427167892456055,50400
2000-03-31,21.0625,21.5,21.0,21.5,8.551461219787598,232900
