Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.375,16.375,16.0,16.0625,11.149141311645508,235200
2000-01-04,16.0,16.125,15.9375,16.0,11.105761528015137,188600
2000-01-05,16.0,16.3125,16.0,16.0625,11.149141311645508,168900
2000-01-06,16.1875,16.3125,16.0,16.1875,11.235905647277832,177700
2000-01-07,16.3125,16.9375,16.3125,16.9375,11.756484985351562,170300
2000-01-10,16.9375,16.9375,16.6875,16.75,11.62634563446045,204000
2000-01-11,16.5,16.9375,16.5,16.875,11.713102340698242,182200
2000-01-12,16.8125,16.9375,16.5,16.5625,11.496198654174805,90500
2000-01-13,17.375,17.375,17.0,17.1875,11.930013656616211,602200
2000-01-14,17.1875,17.1875,16.125,16.3125,11.322670936584473,227500
2000-01-18,16.3125,16.375,15.9375,16.0,11.105761528015137,228600
2000-01-19,16.0,16.0625,15.75,15.75,10.932232856750488,199800
2000-01-20,15.875,15.9375,15.625,15.625,10.845470428466797,215600
2000-01-21,15.6875,15.6875,15.375,15.4375,10.715320587158203,152800
2000-01-24,15.375,15.5,14.8125,14.8125,10.281506538391113,293500
2000-01-25,14.875,14.875,13.625,14.25,9.891067504882812,723800
2000-01-26,14.25,14.5625,13.875,14.0,9.71754264831543,262000
2000-01-27,14.0,14.25,13.8125,14.1875,9.847686767578125,239100
2000-01-28,14.25,14.3125,13.875,14.25,9.891067504882812,251700
2000-01-31,14.375,14.375,13.5625,13.6875,9.500632286071777,506400
2000-02-01,13.6875,14.0,13.6875,13.875,9.630778312683105,348800
2000-02-02,14.0,14.125,13.5,13.5625,9.413864135742188,717300
2000-02-03,13.625,13.75,13.125,13.25,9.196959495544434,486700
2000-02-04,13.125,13.25,12.9375,13.0,9.023429870605469,442700
2000-02-07,13.0,13.0,12.5625,12.875,8.936670303344727,217400
2000-02-08,12.875,12.875,12.5625,12.8125,8.89328384399414,539500
2000-02-09,12.875,12.9375,12.4375,12.5,8.676372528076172,280900
2000-02-10,12.375,12.5625,11.75,11.9375,8.285935401916504,414400
2000-02-11,11.9375,12.0,11.0,11.25,7.808735370635986,826500
2000-02-14,11.25,11.4375,10.75,11.0,7.635209560394287,605600
2000-02-15,11.0,11.125,10.75,10.8125,7.505062103271484,714100
2000-02-16,10.9375,11.0,10.75,10.875,7.54844856262207,423500
2000-02-17,10.9375,11.0625,10.625,10.75,7.4616827964782715,518300
2000-02-18,10.75,10.8125,10.5625,10.6875,7.418302059173584,353300
2000-02-22,10.8125,10.9375,10.5,10.625,7.374916076660156,443700
2000-02-23,10.625,10.625,9.8125,9.9375,6.897716045379639,455300
2000-02-24,10.0,10.0625,9.75,9.9375,6.897716045379639,769400
2000-02-25,10.125,11.5625,10.125,10.9375,7.591828346252441,720700
2000-02-28,11.625,11.75,10.75,10.875,7.5761566162109375,394900
2000-02-29,10.875,11.25,10.3125,10.3125,7.1842827796936035,688900
2000-03-01,10.4375,11.0,10.25,10.5625,7.358448028564453,377800
2000-03-02,10.625,10.8125,10.3125,10.4375,7.271365642547607,395000
2000-03-03,10.5625,10.75,10.1875,10.4375,7.271365642547607,321000
2000-03-06,10.4375,10.625,10.0625,10.0625,7.0101213455200195,361700
2000-03-07,10.0625,10.3125,9.75,9.875,6.879495143890381,443200
2000-03-08,9.9375,10.1875,9.875,10.0,6.966577529907227,665400
2000-03-09,10.125,10.625,10.0,10.125,7.053660869598389,532400
2000-03-10,10.0,10.125,9.125,9.375,6.531166076660156,837900
2000-03-13,9.5,9.875,9.3125,9.375,6.531166076660156,304400
2000-03-14,9.5625,9.75,9.25,9.3125,6.4876298904418945,421300
2000-03-15,9.0,9.0,8.5,9.0,6.2699198722839355,1607400
2000-03-16,9.0,10.5,8.875,10.125,7.053660869598389,970200
2000-03-17,9.875,10.375,9.75,9.75,6.792415618896484,657400
2000-03-20,10.0,10.5,9.875,10.0625,7.0101213455200195,436500
2000-03-21,10.1875,10.5,10.0,10.4375,7.271365642547607,424100
2000-03-22,10.5,10.5625,10.375,10.5,7.3149094581604,578700
2000-03-23,10.75,11.0,10.5625,10.875,7.5761566162109375,459900
2000-03-24,10.875,10.875,10.4375,10.625,7.401987075805664,799700
2000-03-27,10.625,10.75,10.0,10.125,7.053660869598389,409200
2000-03-28,10.0,10.4375,10.0,10.25,7.140740394592285,468100
2000-03-29,10.25,10.375,9.9375,10.125,7.053660869598389,339700
2000-03-30,10.125,11.125,10.125,10.6875,7.445526599884033,560900
2000-03-31,10.8125,11.125,10.3125,11.125,7.7503180503845215,1130400
2000-04-03,11.125,11.1875,10.125,10.25,7.140740394592285,485300
2000-04-04,10.375,10.75,10.375,10.75,7.489071369171143,291100
2000-04-05,10.875,11.125,10.5625,11.125,7.7503180503845215,372700
2000-04-06,11.0,11.0,10.25,10.375,7.22782564163208,469600
2000-04-07,10.125,10.375,10.0625,10.125,7.053660869598389,304900
2000-04-10,10.5,10.5,10.125,10.1875,7.097202301025391,192000
2000-04-11,10.3125,10.375,10.0625,10.375,7.22782564163208,170700
2000-04-12,10.4375,10.5625,10.0,10.0625,7.0101213455200195,203800
2000-04-13,10.1875,10.875,10.125,10.8125,7.5326128005981445,483400
2000-04-14,10.8125,10.8125,10.125,10.125,7.053660869598389,253600
2000-04-17,10.1875,10.5,10.0,10.4375,7.271365642547607,325100
2000-04-18,10.3125,10.375,10.125,10.375,7.22782564163208,165300
2000-04-19,10.4375,10.4375,10.125,10.3125,7.1842827796936035,196800
2000-04-20,10.1875,10.5625,10.1875,10.4375,7.271365642547607,146200
2000-04-24,10.5625,10.625,10.25,10.4375,7.271365642547607,257100
2000-04-25,10.5,11.125,10.5,11.0,7.663237571716309,355300
2000-04-26,11.0,11.25,11.0,11.0,7.663237571716309,459400
2000-04-27,11.0,11.375,10.9375,11.0,7.663237571716309,961900
2000-04-28,11.0625,11.0625,10.4375,10.4375,7.271365642547607,384800
2000-05-01,10.5625,10.9375,10.4375,10.4375,7.271365642547607,194400
2000-05-02,10.5,10.6875,10.3125,10.375,7.22782564163208,138200
2000-05-03,10.375,10.75,10.25,10.25,7.140740394592285,370800
2000-05-04,10.5625,10.875,10.4375,10.75,7.489071369171143,438900
2000-05-05,10.75,10.75,10.0,10.375,7.22782564163208,343800
2000-05-08,10.4375,10.4375,10.0,10.1875,7.097202301025391,172500
2000-05-09,10.125,10.3125,9.8125,10.1875,7.097202301025391,465700
2000-05-10,10.0625,10.5,9.9375,10.375,7.22782564163208,256100
2000-05-11,10.5,10.8125,10.3125,10.625,7.401987075805664,601400
2000-05-12,10.625,10.75,10.25,10.5,7.3149094581604,197500
2000-05-15,10.5625,10.625,10.1875,10.1875,7.097202301025391,287600
2000-05-16,10.3125,10.5,10.1875,10.5,7.3149094581604,159100
2000-05-17,10.4375,10.5,10.1875,10.4375,7.271365642547607,180400
2000-05-18,10.4375,10.625,10.25,10.4375,7.271365642547607,185200
2000-05-19,10.4375,10.5625,10.0625,10.0625,7.0101213455200195,270700
2000-05-22,10.1875,10.3125,10.0,10.125,7.053660869598389,321800
2000-05-23,10.125,10.375,9.875,10.0625,7.0101213455200195,232100
