Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.4375,39.875,39.3125,39.375,27.593740463256836,247700
2000-01-04,39.125,39.625,39.0,39.25,27.506135940551758,252500
2000-01-05,39.25,43.0,39.0625,41.875,29.345722198486328,394000
2000-01-06,41.625,42.0,40.9375,41.9375,29.389511108398438,320400
2000-01-07,42.125,42.375,41.75,42.0625,29.477123260498047,178300
2000-01-10,42.3125,44.1875,42.3125,43.75,30.659700393676758,311700
2000-01-11,43.5625,43.5625,42.5,42.8125,30.002708435058594,304700
2000-01-12,43.0,43.3125,41.8125,42.1875,29.56472396850586,213200
2000-01-13,42.4375,43.1875,42.0,42.875,30.0465030670166,274800
2000-01-14,42.9375,43.0625,42.25,43.0,30.13410758972168,224000
2000-01-18,43.0,44.4375,42.0625,44.1875,30.966320037841797,224300
2000-01-19,42.75,44.5625,42.75,44.125,30.92250633239746,249600
2000-01-20,44.125,44.375,43.25,43.5625,30.52829933166504,241000
2000-01-21,44.0,44.0,42.5625,42.75,29.95890998840332,233200
2000-01-24,43.0,43.25,42.0,42.1875,29.56472396850586,170600
2000-01-25,44.125,47.75,41.875,42.0625,29.477123260498047,773000
2000-01-26,42.125,42.875,42.0,42.875,30.0465030670166,483000
2000-01-27,42.625,43.625,42.625,43.0625,30.17789077758789,279400
2000-01-28,43.0,43.0,41.625,41.9375,29.389511108398438,215100
2000-01-31,41.8125,42.875,41.8125,42.3125,29.652311325073242,182000
2000-02-01,42.125,42.375,41.9375,42.3125,29.652311325073242,154400
2000-02-02,42.1875,42.75,42.0625,42.25,29.60851287841797,87100
2000-02-03,42.625,43.0,41.5,42.875,30.0465030670166,142400
2000-02-04,42.625,43.5,42.375,42.5625,29.827518463134766,139100
2000-02-07,42.5,42.75,42.0,42.0625,29.477123260498047,115100
2000-02-08,42.0625,42.3125,42.0,42.125,29.520917892456055,195800
2000-02-09,42.0625,42.25,41.875,41.875,29.345722198486328,232400
2000-02-10,42.0,42.75,41.9375,42.0625,29.477123260498047,123500
2000-02-11,42.0625,42.25,40.9375,41.125,28.82012176513672,311600
2000-02-14,41.125,41.375,40.5,41.25,28.90773582458496,178400
2000-02-15,41.3125,42.375,41.25,42.0625,29.477123260498047,182900
2000-02-16,42.1875,42.25,42.0,42.0625,29.477123260498047,160200
2000-02-17,42.0,43.0,42.0,42.4375,29.73992156982422,140400
2000-02-18,42.1875,42.4375,41.75,42.0,29.433332443237305,319200
2000-02-22,42.0,42.75,41.875,42.25,29.60851287841797,127600
2000-02-23,41.8125,41.8125,40.375,40.625,28.611940383911133,193800
2000-02-24,40.625,40.6875,39.25,39.3125,27.687541961669922,266500
2000-02-25,39.4375,40.375,39.375,40.125,28.259782791137695,269700
2000-02-28,40.125,40.4375,39.25,40.0,28.171764373779297,210000
2000-02-29,40.0,40.125,39.25,40.0,28.171764373779297,175300
2000-03-01,39.8125,40.25,39.3125,40.25,28.347837448120117,113900
2000-03-02,40.0,40.125,39.0,39.25,27.6435489654541,169600
2000-03-03,39.375,40.75,39.125,40.5,28.523906707763672,175000
2000-03-06,40.375,40.4375,39.25,39.375,27.7315731048584,142500
2000-03-07,39.375,39.375,38.125,38.1875,26.89522361755371,244800
2000-03-08,38.0,38.75,37.6875,38.4375,27.07129669189453,138000
2000-03-09,39.0,39.0,38.5625,38.875,27.379426956176758,110600
2000-03-10,38.75,39.375,38.5625,38.6875,27.24736976623535,113900
2000-03-13,38.5,39.8125,38.0,39.4375,27.775588989257812,200700
2000-03-14,39.0625,39.9375,39.0,39.375,27.7315731048584,154900
2000-03-15,39.125,41.1875,39.125,40.6875,28.65596580505371,197000
2000-03-16,40.875,44.25,40.625,44.1875,31.120990753173828,271100
2000-03-17,44.0,44.125,42.5,43.75,30.81285858154297,295200
