Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.625,19.625,18.9375,19.0,6.97799825668335,2738600
2000-01-04,19.0625,19.5,19.0,19.4375,7.138672828674316,425200
2000-01-05,19.4375,20.1875,19.4375,20.1875,7.414121150970459,500200
2000-01-06,20.125,20.125,19.8125,20.0,7.345258712768555,344100
2000-01-07,20.0,20.0,19.875,20.0,7.345258712768555,469500
2000-01-10,20.0625,20.0625,19.875,20.0,7.345258712768555,522000
2000-01-11,19.9375,20.0625,19.9375,20.0,7.345258712768555,557400
2000-01-12,20.0,20.5625,20.0,20.4375,7.5059332847595215,410500
2000-01-13,20.375,20.5,20.25,20.375,7.482982158660889,308000
2000-01-14,20.375,20.4375,20.125,20.4375,7.5059332847595215,659100
2000-01-18,20.3125,20.3125,19.6875,19.8125,7.276394367218018,843200
2000-01-19,19.75,19.875,19.6875,19.8125,7.276394367218018,578200
2000-01-20,19.8125,19.875,19.5625,19.625,7.207537651062012,566200
2000-01-21,19.625,19.9375,19.625,19.75,7.253442764282227,1021700
2000-01-24,19.75,19.8125,19.625,19.6875,7.230493068695068,649100
2000-01-25,19.6875,19.6875,19.3125,19.5,7.161625862121582,344900
2000-01-26,19.625,19.625,19.0,19.125,7.023900032043457,1137000
2000-01-27,19.25,19.5,19.1875,19.3125,7.0927629470825195,493400
2000-01-28,19.3125,19.5,19.25,19.25,7.06981086730957,289700
2000-01-31,19.25,19.375,19.125,19.25,7.06981086730957,526700
2000-02-01,19.375,19.375,19.125,19.25,7.06981086730957,446600
2000-02-02,19.375,19.4375,19.0625,19.0625,7.00094747543335,313200
2000-02-03,19.1875,19.6875,19.1875,19.625,7.207537651062012,483400
2000-02-04,19.625,19.625,19.125,19.3125,7.0927629470825195,336400
2000-02-07,19.3125,19.3125,19.0,19.0625,7.00094747543335,348300
2000-02-08,19.0625,19.1875,19.0,19.0625,7.00094747543335,364900
2000-02-09,19.125,19.5,19.0625,19.1875,7.04685640335083,595500
2000-02-10,19.1875,19.3125,18.5625,18.8125,6.909130573272705,503600
2000-02-11,18.9375,18.9375,18.5,18.875,6.9320855140686035,554500
2000-02-14,18.8125,18.9375,18.625,18.75,6.8861799240112305,374500
2000-02-15,18.5,18.6875,18.375,18.4375,6.771405220031738,627400
2000-02-16,18.5625,18.75,18.5,18.5,6.794361114501953,284800
2000-02-17,18.6875,18.6875,18.3125,18.5625,6.817323684692383,202600
2000-02-18,18.4375,18.5,18.125,18.1875,6.679596900939941,469100
2000-02-22,18.3125,18.5625,18.25,18.3125,6.725499629974365,477300
2000-02-23,18.25,18.3125,18.0,18.0625,6.6336846351623535,306300
2000-02-24,18.0625,18.125,17.6875,17.8125,6.541868686676025,367700
2000-02-25,17.875,17.875,17.375,17.5625,6.45005464553833,477600
2000-02-28,17.8125,18.125,17.5625,18.0,6.610734462738037,505400
2000-02-29,17.8125,17.9375,17.5,17.5625,6.45005464553833,535900
2000-03-01,17.625,17.6875,17.0625,17.1875,6.312331199645996,512300
2000-03-02,17.0625,17.25,17.0,17.0625,6.266425609588623,642200
2000-03-03,17.125,17.5625,17.125,17.5,6.427099704742432,405500
2000-03-06,17.375,17.375,16.25,16.4375,6.036882400512695,967400
2000-03-07,16.6875,16.75,16.3125,16.4375,6.036882400512695,1814900
2000-03-08,16.5625,16.8125,16.3125,16.375,6.01392936706543,1498300
2000-03-09,16.5,16.625,16.125,16.25,5.96802282333374,1129600
2000-03-10,16.3125,16.75,16.25,16.625,6.105747222900391,635300
2000-03-13,16.6875,16.9375,16.5625,16.9375,6.220515727996826,636700
2000-03-14,17.1875,17.5,17.125,17.5,6.427099704742432,873700
2000-03-15,17.5,18.625,17.5,18.625,6.840272903442383,898300
2000-03-16,18.875,19.9375,18.75,19.9375,7.3223042488098145,894300
2000-03-17,19.9375,20.1875,19.625,19.875,7.299350261688232,1242200
2000-03-20,19.875,19.9375,19.375,19.5,7.161625862121582,1416800
2000-03-21,19.4375,19.4375,18.8125,19.0,6.97799825668335,639000
2000-03-22,18.875,18.9375,18.25,18.5625,6.817323684692383,367700
2000-03-23,18.5625,18.875,18.5625,18.8125,6.909130573272705,500300
2000-03-24,18.6875,18.9375,18.5625,18.875,6.9320855140686035,648100
